category,category_count,well,x_mean,y_mean,exact_typewell_group,exp226_rmse,hmm_rmse,hmm_bias,likpf_rmse,pf_ancc_rmse,gr_best_rmse,gr_worst_rmse,exp226_bias,likpf_mean_bias,pf_ancc_bias,hmm_std_mean,self_gr_valid_rate,self_gr_quality_mean,gr_missing_eval,formation_abs_slope_mean,z_mean_eval,z_range_eval,tvt_range_eval,donor_dist_min,donor_dist_max,delta_abs_median,end_minus_anchor,nearest8_min_dist,nearest8_med_dist,same_typewell_nearest8_count,nearest8_wells
hmm_bad_exp226_good,9,97cd5bf9,2956169.238972348,1087870.3264228306,native_overlap_1_cluster_0024,3.979652333603017,40.64132676988587,-31.46701855610322,4.620325874513306,3.127763404225287,3.127763404225287,40.64132676988587,-1.1133421796561187,-3.686033026316757,-2.1663518486996267,10.7604881033412,0.019425921142101288,0.0009263692190870643,0.6332270223253117,0.041635247486465604,-8588.44586256886,123.29000000000087,25.80999999999949,1350.2999717190507,1480.8219956499197,2.2007559156616816,6.270562463540406,1518.4451629755476,1948.3304669776949,8,122bd617 81fc01c6 404c4384 05948241 74b6186b 10be2420 8b5be31b 398dce4b
hmm_bad_exp226_good,9,fc0d20b2,2932977.6776940525,1068091.7162339897,native_overlap_1_cluster_0017,8.006347931806275,37.5853810651608,-29.652971294890953,12.89233800805847,12.03110390803499,12.03110390803499,37.5853810651608,5.386809045647762,-3.687197216515525,-8.128020879909263,10.117598339410453,0.181841179728508,0.013097819872200489,0.47774405665149217,0.04417910447761187,-8490.758017197775,196.15000000000146,23.730000000001382,1329.6921108384015,2671.0804169707576,0.7034774721556534,-9.53814284323444,1219.2953070525864,6139.330698952069,8,da3cf798 35b3ef6a 94467f50 c03b9305 a783cc24 357c12f9 b7fea9ef ef04658e
hmm_bad_exp226_good,9,4c2208f5,3034678.5598551333,1091212.774879968,native_overlap_1_cluster_0034,6.80787494334492,37.63672937456919,-34.815988855868795,26.562587720603812,11.910117923171974,11.910117923171974,37.63672937456919,4.552141907328763,-23.490561936168834,-9.43072350818734,1.1741009423276825,1.0,0.09248010814189911,0.037704309063893014,0.02131896711870715,-10600.078820579494,44.31999999999971,49.77000000000044,726.9858176397908,1091.0033429482787,2.134323309649871,38.87253689000402,223.45062498070885,2298.7105569620917,3,a8ed028a d7eb0be8 493b5b31 27c3155b 57f05c51 a6f967fb 03a935ae cad13e8f
hmm_bad_exp226_good,9,729665c0,2999484.693565372,1093005.3472917718,native_overlap_1_cluster_0007,6.062404916722908,30.991400346609066,28.61053225428109,3.4596815549521245,3.368568744632677,3.368568744632677,30.991400346609066,-4.241441295987478,0.062410910813753,-0.1903066541223762,2.993171147400394,0.2789115607738495,0.026879634708166122,0.555008210180624,0.03752659158454599,-9766.791111893033,168.88999999999942,25.81999999999971,781.3472173751643,1139.246067208934,1.918352003083996,0.2533694309432863,385.9548873022599,2587.753149978409,2,647f2a41 2be5c96a b0f53bf4 925a7cd1 153552f5 75c20ec7 1619e2ca da2d4d7c
hmm_bad_exp226_good,9,b19b0395,2900874.045484996,1022318.8799471912,native_overlap_1_cluster_0001,8.066272854972755,54.60981689956661,47.001682521934036,7.655134161712865,6.388351351748804,6.388351351748804,54.60981689956661,7.274853992609694,4.067828791081492,2.470656629793444,3.838045319646549,1.0,0.08761213719844818,0.037674178565284704,0.020957214957559325,-9215.561670393945,111.10000000000036,25.81000000000131,1268.3970213029188,1685.4374212130845,4.0,4.13271641193928,350.5844300315236,2289.582288831494,5,dafc88c3 203721ab d24ff243 7d50373e ebe69318 1131525f af7a59ce 14ab73fb
hmm_bad_exp226_good,9,8a3da6d1,3007778.7580802,1107375.3020066316,native_overlap_1_cluster_0004,4.961708368501027,47.1794693359573,-33.987246570868926,11.486523963578724,8.085547429791495,8.085547429791495,47.1794693359573,-1.988444749011885,-8.118687335089051,-2.8443058835107977,1.872601199339575,0.259960800409317,0.013565817847847939,0.46026562159808404,0.04375871080139384,-9769.683544524276,186.65999999999985,25.829999999999927,748.0802727648393,1183.359376394181,3.555250111867119,2.5930826192149894,211.4278899465814,2179.5167992455163,2,a79fd2e7 2acc78d4 d924e971 1aaf1da0 044af7d1 43b06c70 d50c649a 4cd1ac61
hmm_bad_exp226_good,9,a9c9b150,2984988.4392276127,1110379.0364778575,native_overlap_1_cluster_0020,8.000245810154558,35.48210013780114,-32.92182789764102,5.01010465451227,1.5666008890883758,1.5666008890883758,35.48210013780114,6.665183273570247,4.221589527766151,-1.1180024135276536,10.972417744748821,0.05920722708106041,0.0036394100170582533,0.5474159558454591,0.040999581764951644,-8874.919397892623,160.1900000000005,5.680000000000291,1012.949289858381,1613.596657114071,0.8581707766097793,10.453711225803378,497.8035967402538,4481.105290049189,3,96b7eea1 f631da6e b0d42b0d 2043abc5 516088b7 125be846 47ee27ab 78a4a386
hmm_bad_exp226_good,9,fa31da94,3015153.38681335,1112014.4157775757,native_overlap_1_cluster_0013,2.74519413756365,37.80492092582242,33.69457201114049,3.600359125639029,3.059363505913109,3.059363505913109,37.80492092582242,0.3051911435149133,2.167764959111476,-1.0390849271407003,8.258346443231222,0.0793713927268982,0.003925970755517483,0.695046747563159,0.04914345403899725,-9909.653359856773,243.10000000000036,17.3700000000008,842.389921888851,1310.907648053822,1.139422077847725,1.094380739799255,559.6349919500942,2664.331175724855,3,63559d57 7987f2f2 7cbbd047 9e3e364d a645da9a cbe51de1 877ed19c b85f7b06
hmm_bad_exp226_good,9,4caa7289,2902080.1547592627,1033387.5445739751,native_overlap_1_cluster_0001,8.593343692160753,38.80526613865391,-34.85738426612342,28.654909465550364,42.56300370343691,28.654909465550364,42.56300370343691,-7.490314413263414,-25.789421177673084,-37.68638372070904,12.787576575023431,0.018532246351242065,0.0008990391506813467,0.6123054114158636,0.032031819586036424,-9064.707883617495,157.35999999999876,22.159999999999854,1319.769067318206,1462.094726625399,1.3635918470480002,6.253823584586816,385.2903066347063,2788.195684621979,7,0a57a29c 6ede926a e45a2a62 c9578d27 8bb9c1e6 0bbf5e67 811f52b3 310c71a5
likpf_bad_exp226_good,4,7987f2f2,3014178.731330071,1111884.742695135,native_overlap_1_cluster_0013,5.305608482772463,9.390299603524117,6.4060793522273505,51.29440425806843,28.28221386226869,9.390299603524117,51.29440425806843,3.1731058179721785,45.079776309865686,24.692712361412912,1.4213084756922096,0.1981106549501419,0.007373581640422344,0.46180836707152495,0.04772453203743697,-9911.9991902834,189.21999999999935,42.52000000000044,805.9189824814484,931.9851482856678,0.970806373118596,7.556046917126743,517.1245477364994,2226.458707041513,3,63559d57 fa31da94 9e3e364d cbe51de1 877ed19c b85f7b06 7cbbd047 89fdb2f2
likpf_bad_exp226_good,4,3417285d,2983667.747055504,1058575.6183024943,native_overlap_1_cluster_0029,5.291722390453413,2.091494031910913,-1.342940906588725,32.31756583024372,36.71888696245069,2.091494031910913,36.71888696245069,-4.39539836749042,-30.4100141791018,-34.44323385847955,1.61380785471906,0.9893558621406555,0.08689315617084503,0.09818315287208662,0.02654001468428784,-9972.753576803083,112.26000000000022,45.7400000000016,955.7708968157106,1360.090562352316,4.0,25.045558276946814,267.73230997427237,3451.0364969803936,5,10b89021 bc4381e2 c43812e2 7224331b 02e7fe5a 7993a768 f88ddb26 5d11dfb5
likpf_bad_exp226_good,4,81bf5923,3035617.765259947,1098987.8206013185,native_overlap_1_cluster_0034,8.05978257986276,28.56613422109112,24.225513427249904,31.563055981515404,31.9498239875831,28.56613422109112,31.9498239875831,2.752392956804956,27.305735702254573,27.096707267575248,6.0819001749262025,0.912612795829773,0.07753214240074158,0.08320493066255778,0.009097313958608157,-10646.380836451684,50.31000000000131,53.55000000000109,1110.808198261741,2180.2349173655543,4.0,-31.552373434808874,589.4233272827453,5398.82702638296,2,727a3a10 1b1eba53 98177ced 7850c72e cad13e8f cb34231f a6f967fb 57f05c51
likpf_bad_exp226_good,4,57f05c51,3035618.683769685,1093397.070793458,native_overlap_1_cluster_0035,7.187031852467127,12.673669425973532,3.814760532382435,32.47580563411516,31.579007663544694,12.673669425973532,32.47580563411516,-0.1877144455278956,25.133056101418973,-27.13582347946562,3.387149691521569,1.0,0.09342623502016068,0.05805910710542863,0.030365478686234085,-10565.75294277929,137.52000000000044,63.82999999999993,465.2118943287981,684.7000431211172,4.0,19.405935791555358,13.665863621447796,432.61008144199354,6,a6f967fb 27c3155b cad13e8f 493b5b31 98177ced 7850c72e cb34231f 4c2208f5
pf_ancc_bad_exp226_good,19,93209a3d,3004412.32930474,1106807.1920571455,native_overlap_1_cluster_0007,7.621337708006759,14.969036158665777,-13.164052480307236,8.130035342679728,32.40150637430952,8.130035342679728,32.40150637430952,-6.246629855613074,-6.728778022573613,-28.589034607184534,5.568258376514004,0.050883542746305466,0.004108073189854622,0.5648286140089419,0.055453222600794896,-9668.212312114114,251.60000000000036,18.43000000000029,1096.536142039801,1448.100295024057,1.8002869736688618,-10.211027562240506,407.1441770139651,1431.947461468794,7,4cd1ac61 d50c649a 43b06c70 9ad5410a fc03f21f 1aaf1da0 d924e971 be063506
pf_ancc_bad_exp226_good,19,c3957531,3019803.5901902355,1089991.1415660318,native_overlap_1_cluster_0032,4.6248365124642445,9.42936789796586,-4.1987986267864015,12.118292328175524,31.95728389570196,9.42936789796586,31.95728389570196,0.714555025506239,-7.757698421024871,-21.217480733966475,2.323985388596027,1.0,0.0852101668715477,0.03781038374717833,0.019447162119786542,-10472.21487020316,101.86000000000058,45.6100000000024,1449.7639558390822,1562.893675790549,1.7866008908989184,2.5673268411281787,514.3935107965831,3324.5714312302243,3,7a5660b0 ee0300f7 e46f4ef4 3e678ea7 ac6f01d5 d07aed8f 2fa01aa6 e5864244
pf_ancc_bad_exp226_good,19,f4d12d23,2916494.9815033125,1041759.1741611602,native_overlap_1_cluster_0005,2.1362827187424487,2.577212781239499,-1.7670328289649766,4.281615525990207,35.34297194961974,2.577212781239499,35.34297194961974,0.1920285675072401,-1.5356739153392531,32.0352068684692,1.2472185177632176,0.6255066394805908,0.03969560191035271,0.28776006484733857,0.019660810810810864,-9105.381502296677,86.27000000000044,24.61999999999898,771.6694424424647,996.525211171528,1.2801666785208496,-16.289797604681567,324.2248519349397,1282.7280405071547,8,9c8375f7 7acda2df 833af382 eafb863e b4f37e6e 8255c867 25fd32b3 460f859e
pf_ancc_bad_exp226_good,19,2fd68f7b,2998302.474381745,1125308.429716344,native_overlap_1_cluster_0023,8.022611818383128,7.259069503907021,-6.389241860464311,11.631503383375945,37.923079434736685,7.259069503907021,37.923079434736685,-5.596044934375199,-7.468499941052278,-34.18353202374091,16.9383946972402,0.03044397383928299,0.00150366872549057,0.6139534883720931,0.03949355043349533,-8915.239890063425,250.07999999999993,75.98999999999978,841.9637977077474,1203.915304298993,4.0,55.810678238630025,267.0308387489409,1416.6455893689783,7,9a6b0392 65a5466a 76201745 944f36b9 1b1c5372 1b82b665 0390d174 ee288beb
