category,exact_typewell_group,group_wells,category_wells_in_group,exp226_rmse_median,hmm_rmse_median,likpf_rmse_median,pf_ancc_rmse_median,gr_missing_eval_median,formation_abs_slope_mean_median
pf_bad_hmm_good,native_overlap_1_cluster_0003,41,2,4.911937649239798,4.795444458543006,5.424089209651847,9.1124162767815,0.32024597918637654,0.030320231068693033
pf_bad_hmm_good,native_overlap_1_cluster_0008,28,1,6.798625019286243,7.250491651529728,7.768552691952287,13.026462665572227,0.39120684376024784,0.04061457616580898
pf_bad_hmm_good,native_overlap_1_cluster_0013,22,1,5.431359792977611,5.444384358531549,5.517244888956983,6.815080131166811,0.3994252468800793,0.04229091760217139
pf_bad_hmm_good,native_overlap_1_cluster_0017,19,1,10.096908982632192,9.276688716245326,11.251123347252678,12.897990998084817,0.22759898124565872,0.038380047119993356
pf_bad_hmm_good,native_overlap_1_cluster_0029,10,1,6.567167270969376,6.37487093094931,6.78836465508641,6.8585291807955375,0.1991192919099326,0.02850567548909578
pf_bad_hmm_good,native_overlap_1_cluster_0033,8,1,18.082062112433942,4.545343421823887,15.68013048709295,21.53722500688238,0.2914478732108494,0.03612986571676452
hmm_bad_pf_good,native_overlap_1_cluster_0001,71,2,4.218474145526725,3.333190315346041,4.2857199660183785,6.956936131157399,0.23884608493101595,0.03353249181860692
hmm_bad_pf_good,native_overlap_1_cluster_0007,30,1,6.487380574522671,7.543584176989921,7.672135532775874,8.05512064727729,0.47622385880415297,0.03867481847192001
hmm_bad_pf_good,native_overlap_1_cluster_0013,22,1,5.431359792977611,5.444384358531549,5.517244888956983,6.815080131166811,0.3994252468800793,0.04229091760217139
hmm_bad_pf_good,native_overlap_1_cluster_0018,17,1,6.9921266924084815,5.6270300354813685,5.392023528069245,5.112690739388162,0.21479086684178622,0.03873025276461294
hmm_bad_pf_good,native_overlap_1_cluster_0020,15,1,4.536156584820747,6.003800091861219,10.96332105783613,9.59754638242099,0.3641905984277234,0.03389673433362758
hmm_bad_pf_good,native_overlap_1_cluster_0024,13,1,3.979652333603017,3.9846279568739935,4.23927824770132,8.53883469384332,0.5114895917815626,0.04208741442864669
hmm_bad_exp226_good,native_overlap_1_cluster_0001,71,2,4.218474145526725,3.333190315346041,4.2857199660183785,6.956936131157399,0.23884608493101595,0.03353249181860692
