well_id,exact_coverage_query_full,exact_coverage_query_hidden,exact_coverage_query_prefix,exact_rows_full,exact_rows_hidden,exact_rows_prefix,exact_corr_full,exact_corr_hidden,exact_corr_prefix,exact_z_rmse_full,exact_z_rmse_hidden,exact_z_rmse_prefix,exact_raw_rmse_full,exact_raw_rmse_hidden,exact_raw_rmse_prefix,exact_raw_mae_full,exact_raw_mae_hidden,exact_raw_mae_prefix,exact_resid_std_full,exact_resid_std_hidden,exact_resid_std_prefix,exact_corr_hidden_minus_prefix,exact_z_rmse_hidden_minus_prefix,exact_raw_rmse_hidden_minus_prefix,exact_raw_mae_hidden_minus_prefix,exact_resid_std_hidden_minus_prefix,exact_coverage_query_hidden_minus_prefix,grid_provided_overlap_grid_points_hidden,grid_provided_overlap_grid_points_prefix,grid_provided_coverage_query_hidden,grid_provided_coverage_query_prefix,grid_provided_corr_hidden,grid_provided_corr_prefix,grid_provided_z_rmse_hidden,grid_provided_z_rmse_prefix,grid_provided_raw_rmse_hidden,grid_provided_raw_rmse_prefix,grid_provided_resid_std_hidden,grid_provided_resid_std_prefix,grid_provided_corr_hidden_minus_prefix,grid_provided_z_rmse_hidden_minus_prefix,grid_provided_raw_rmse_hidden_minus_prefix,grid_provided_resid_std_hidden_minus_prefix,grid_provided_overlap_grid_points_hidden_minus_prefix
204cc64b,0.6042435424354243,0.4906088082901554,0.9967948717948718,2620.0,1515.0,1244.0,0.8743440307059609,0.4481878003005357,0.7763006614459687,0.5013102219066335,1.0505352918388455,0.6688786714405406,14.777360319844403,10.295609415473471,18.642031053376066,9.998337523209525,7.876581363020034,12.54716992961936,14.70973689193053,10.08019185130126,18.59613796961912,-0.328112861145433,0.38165662039830495,-8.346421637902594,-4.670588566599325,-8.515946118317862,-0.5061860635047164,54.0,744.0,1.0,1.0,0.6902516484260559,0.7334391474723816,0.7870811223983765,0.7301518321037292,10.951281547546388,15.838567733764648,10.674415588378906,15.758286476135254,-0.043187499046325684,0.05692929029464722,-4.88728618621826,-5.083870887756348,-690.0
206b6193,0.6151981577990546,0.5619913834370512,0.844758064516129,5076.0,3522.0,1676.0,0.760368319567659,0.6430128371289672,0.8576242512921877,0.6922884954010733,0.8449700146999689,0.5336211178501322,12.705415530195648,12.99343001369706,12.154405115600358,9.436089379044065,10.113291204843796,8.055511082991963,12.704529900557617,12.985304622310377,12.087101297006784,-0.2146114141632205,0.3113488968498367,0.8390248980967012,2.057780121851833,0.8982033253035926,-0.28276668107907776,141.0,883.0,1.0,1.0,0.641377866268158,0.8820415735244751,0.8469027280807495,0.4857127368450165,11.906848907470703,14.315962791442873,11.852290153503418,14.030675888061523,-0.24066370725631714,0.36118999123573303,-2.4091138839721697,-2.1783857345581055,-742.0
2075c696,0.6313220074204257,0.4948805460750853,0.9055225924235508,3233.0,1450.0,1984.0,0.7385500477690742,0.6193812716233232,0.7453716346254091,0.7231181815317961,0.8724892301646786,0.7136222605476806,13.995623450292772,8.951157500739498,16.39209196031057,9.644312558278662,6.671485800350985,11.571317009499207,13.954166474842737,8.939333078836743,16.2884197977706,-0.12599036300208588,0.15886696961699798,-7.440934459571071,-4.899831209148222,-7.349086718933858,-0.4106420463484655,65.0,1307.0,1.0,1.0,0.6380295157432556,0.7896978259086609,0.8508471846580505,0.6485401391983032,10.162147521972656,16.467025756835938,10.134278297424316,16.46243667602539,-0.15166831016540527,0.20230704545974731,-6.304878234863281,-6.328158378601074,-1242.0
22c5f93f,0.6056518946692357,0.5237030411449016,0.9441913439635536,1886.0,1171.0,829.0,0.651764055217974,0.6612142824288602,0.6768382784060584,0.834548913823541,0.8231472742725202,0.8039424377328785,21.662932593902188,16.778798645850074,27.064723614111735,15.078349168187373,12.739859114935712,18.593228738279524,21.61998417461038,16.265339697668452,26.164100207892663,-0.015623995977198213,0.019204836539641668,-10.28592496826166,-5.853369623343813,-9.89876051022421,-0.420488302818652,53.0,654.0,1.0,1.0,0.8119186758995056,0.6748745441436768,0.6133210062980652,0.806381344795227,12.10829734802246,29.13374710083008,11.457512855529783,26.423568725585938,0.13704413175582886,-0.19306033849716187,-17.025449752807624,-14.966055870056154,-601.0
230eaaa3,0.7377701934015927,0.7032071503680336,0.926530612244898,3891.0,2675.0,1362.0,0.7452745301949787,0.7356280467070466,0.751019333737729,0.7137583201686987,0.7271477886825393,0.705663753160485,13.721274617829486,9.974641407805494,18.84948317728865,9.30974888011622,7.754827925299007,12.325289490775422,13.721144326794809,9.884054606480078,18.688885756471144,-0.015391287030682377,0.021484035522054246,-8.874841769483156,-4.570461565476415,-8.804831149991067,-0.22332346187686436,167.0,987.0,1.0,0.9889779686927797,0.8543170690536499,0.7522085309028625,0.5397831797599792,0.7039765119552612,7.900864124298096,21.379240036010746,7.669961452484131,20.93863677978516,0.10210853815078735,-0.16419333219528198,-13.47837591171265,-13.268675327301029,-820.0
2364716c,0.6411537588008176,0.5354330708661418,0.9756457564575646,2823.0,1632.0,1322.0,0.8382561538721918,0.6103523687916897,0.8964868642297371,0.5687597843163812,0.882777017381298,0.4550013972951355,11.914233128707144,12.141566615791628,12.779979575253805,8.620515419616446,9.011973476455074,8.888265117313827,11.807668536711176,11.975997700807676,12.597863226732636,-0.28613449543804736,0.4277756200861625,-0.6384129594621761,0.12370835914124712,-0.6218655259249601,-0.4402126855914228,68.0,818.0,1.0,1.0,0.6727385520935059,0.9402275681495668,0.8090258836746216,0.3457525968551636,12.4579439163208,11.055814743041992,11.996782302856444,10.971054077148438,-0.2674890160560609,0.463273286819458,1.4021291732788086,1.025728225708006,-750.0
23b9beb0,0.2864147678107874,0.2263352723426758,0.7517842981760507,1986.0,1284.0,948.0,0.8042452670892177,0.8116497787823682,0.7839648434161599,0.6257071725828022,0.6137592707530075,0.6573205558688091,11.27321421959136,7.870421327970834,14.045120943416835,7.668520180807048,5.939110944426117,9.6005947528519,11.19441638858419,7.870311053135503,13.55202329784552,0.027684935366208308,-0.043561285115801596,-6.174699615446001,-3.661483808425782,-5.681712244710018,-0.5254490258333749,37.0,633.0,1.0,1.0,0.8978732824325562,0.7913362979888916,0.4519440531730652,0.6460088491439819,5.226782321929932,16.310766220092773,5.213469982147217,15.86794662475586,0.10653698444366455,-0.19406479597091675,-11.083983898162842,-10.654476642608643,-596.0
24d8997e,0.5017574692442882,0.4180887372013652,0.752157829839704,2284.0,1225.0,1220.0,0.8503894467018659,0.8880776446136374,0.8196606725710807,0.5470110662466238,0.4731223000163121,0.6005652794308365,14.391508147342131,10.850877719029016,17.304831273576852,10.187247025308237,8.275187610792676,12.185605794208426,14.390790261888013,10.84737580445723,17.271345659749073,0.0684169720425567,-0.12744297941452437,-6.4539535545478355,-3.91041818341575,-6.423969855291844,-0.33406909263833884,39.0,815.0,1.0,0.976047933101654,0.912469744682312,0.8204858303070068,0.4184023439884186,0.5991897583007812,9.358596801757812,19.349102020263672,9.32456398010254,19.26498413085937,0.09198391437530518,-0.18078741431236267,-9.99050521850586,-9.94042015075683,-776.0
25050f63,0.4496192149970708,0.3540735647988999,1.0,3070.0,2060.0,1010.0,0.8546923810855666,0.8910469721102058,0.8527645750307054,0.5390874120482382,0.4668040871496183,0.5426516838070157,11.277363220726333,8.390078825286567,15.588420345945645,7.760406738390688,6.468177790299048,10.396042018656804,11.277338815928193,8.12972133491421,15.023473352540146,0.03828239707950043,-0.07584759665739738,-7.198341520659078,-3.9278642283577554,-6.8937520176259355,-0.6459264352011,98.0,949.0,1.0,1.0,0.8793814182281494,0.8578760027885437,0.4911589920520782,0.5331491231918335,9.15930461883545,15.62339973449707,8.839205741882324,15.05514144897461,0.021505415439605713,-0.041990131139755305,-6.464095115661621,-6.215935707092285,-851.0
25939962,0.7941983535868287,0.7668711656441718,0.9239956568946796,2026.0,1250.0,851.0,0.705785778783162,0.4774946453461308,0.7863248787199082,0.7670908958094054,1.0222576530932592,0.6537203091232393,15.318885007087284,13.868908817840042,17.014599204143348,11.307898614685804,10.921236700098746,11.757883125383106,15.21955070907132,13.82563979060035,16.7331554747708,-0.3088302333737774,0.3685373439700199,-3.145690386303306,-0.8366464252843606,-2.90751568417045,-0.15712449125050776,70.0,708.0,1.0,1.0,0.5706368684768677,0.7989184856414795,0.9266748428344728,0.6341632604598999,11.51567268371582,17.91655158996582,11.277007102966309,17.644546508789062,-0.22828161716461182,0.29251158237457286,-6.40087890625,-6.367539405822754,-638.0
