query_label,split,well_id,view,query_grid_valid_points,provided_label,provided_in_primary_pool,provided_rank_by_z_rmse,primary_pool_candidates,provided_overlap_grid_points,provided_coverage_query,provided_coverage_candidate,provided_corr,provided_raw_rmse,provided_resid_std,provided_z_rmse,best_label,best_split,best_well_id,best_is_provided,best_overlap_grid_points,best_coverage_query,best_coverage_candidate,best_corr,best_raw_rmse,best_resid_std,best_z_rmse,best_minus_provided_z_rmse,best_minus_provided_raw_rmse
horizontal:train:059c8f24:hidden,train,059c8f24,hidden,63,typewell:train:059c8f24,True,1.0,165,60.0,0.9523809552192688,0.036719705909490585,0.900026798248291,5.447476387023926,5.105876922607422,0.44715365767478943,typewell:train:059c8f24,train,059c8f24,True,60.0,0.9523809552192688,0.036719705909490585,0.900026798248291,5.447476387023926,5.105876922607422,0.44715365767478943,0.0,0.0
horizontal:train:059c8f24:full,train,059c8f24,full,829,typewell:train:059c8f24,True,1.0,103,826.0,0.9963811635971069,0.5055079460144043,0.7984106540679932,14.904742240905762,14.628183364868164,0.6349635124206543,typewell:train:059c8f24,train,059c8f24,True,826.0,0.9963811635971069,0.5055079460144043,0.7984106540679932,14.904742240905762,14.628183364868164,0.6349635124206543,0.0,0.0
horizontal:train:05a0ee4d:prefix,train,05a0ee4d,prefix,849,typewell:train:05a0ee4d,True,7.0,347,849.0,1.0,0.46066197752952576,0.7560064196586609,24.070371627807617,22.722461700439453,0.6985607743263245,typewell:train:a87433c9,train,a87433c9,False,431.0,0.5076560378074646,0.49884259700775146,0.7972862720489502,45.008506774902344,23.111448287963867,0.6367318630218506,-0.06182891130447388,20.938135147094727
horizontal:train:05a0ee4d:hidden,train,05a0ee4d,hidden,83,typewell:train:05a0ee4d,True,2.0,261,83.0,1.0,0.04503526911139488,0.8445676565170288,9.511882781982422,9.423436164855957,0.5575523972511292,typewell:train:044af7d1,train,044af7d1,False,83.0,1.0,0.05522288754582405,0.8445676565170288,9.511882781982422,9.423436164855957,0.5575523972511292,0.0,0.0
horizontal:train:05a0ee4d:full,train,05a0ee4d,full,860,typewell:train:05a0ee4d,True,7.0,359,860.0,1.0,0.4666304886341095,0.7588050961494446,23.830799102783203,22.459732055664062,0.6945428848266602,typewell:train:a87433c9,train,a87433c9,False,435.0,0.5058139562606812,0.5034722089767456,0.799477756023407,45.03319549560547,22.898540496826172,0.6332807540893555,-0.06126213073730469,21.202396392822266
horizontal:train:060ab2b8:prefix,train,060ab2b8,prefix,612,typewell:train:060ab2b8,True,1.0,418,335.0,0.5473856329917908,0.30961182713508606,0.8578118085861206,12.836806297302246,12.750149726867676,0.5332695245742798,typewell:train:060ab2b8,train,060ab2b8,True,335.0,0.5473856329917908,0.30961182713508606,0.8578118085861206,12.836806297302246,12.750149726867676,0.5332695245742798,0.0,0.0
horizontal:train:060ab2b8:hidden,train,060ab2b8,hidden,55,typewell:train:060ab2b8,True,1.0,430,28.0,0.5090909004211426,0.025878002867102623,0.9032823443412781,6.239992141723633,5.634552001953125,0.4398128092288971,typewell:train:060ab2b8,train,060ab2b8,True,28.0,0.5090909004211426,0.025878002867102623,0.9032823443412781,6.239992141723633,5.634552001953125,0.4398128092288971,0.0,0.0
horizontal:train:060ab2b8:full,train,060ab2b8,full,652,typewell:train:060ab2b8,True,1.0,422,355.0,0.5444785356521606,0.3280961215496063,0.8595097661018372,12.539795875549316,12.45031452178955,0.5300759077072144,typewell:train:060ab2b8,train,060ab2b8,True,355.0,0.5444785356521606,0.3280961215496063,0.8595097661018372,12.539795875549316,12.45031452178955,0.5300759077072144,0.0,0.0
horizontal:train:06df5958:prefix,train,06df5958,prefix,734,typewell:train:06df5958,True,2.0,452,734.0,1.0,0.5948135852813721,0.5076845288276672,22.921884536743164,22.634204864501953,0.9922857284545898,typewell:train:42c538a1,train,42c538a1,False,679.0,0.9250681400299072,0.6189607977867126,0.5095489025115967,23.297082901000977,22.931591033935547,0.9904050827026367,-0.001880645751953125,0.3751983642578125
horizontal:train:06df5958:hidden,train,06df5958,hidden,23,typewell:train:06df5958,True,1.0,327,23.0,1.0,0.018638573586940765,0.664490282535553,10.763768196105957,10.644671440124512,0.8191577792167664,typewell:train:06df5958,train,06df5958,True,23.0,1.0,0.018638573586940765,0.664490282535553,10.763768196105957,10.644671440124512,0.8191577792167664,0.0,0.0
horizontal:train:06df5958:full,train,06df5958,full,742,typewell:train:06df5958,True,2.0,453,742.0,1.0,0.601296603679657,0.5072159767150879,22.81195831298828,22.539749145507812,0.9927577972412109,typewell:train:42c538a1,train,42c538a1,False,687.0,0.9258760213851929,0.6262534260749817,0.5088659524917603,23.1758975982666,22.829914093017578,0.9910944104194641,-0.0016633868217468262,0.3639392852783203
horizontal:train:071d7b45:prefix,train,071d7b45,prefix,520,typewell:train:071d7b45,True,1.0,257,512.0,0.9846153855323792,0.475394606590271,0.7570438385009766,13.631521224975586,13.11905574798584,0.6970741152763367,typewell:train:071d7b45,train,071d7b45,True,512.0,0.9846153855323792,0.475394606590271,0.7570438385009766,13.631521224975586,13.11905574798584,0.6970741152763367,0.0,0.0
