rows,rmse,mae,bias,within5,within10,abs_p50,abs_p90,abs_p95,abs_p99,method,bucket_type,bucket
115950,3.809278068808212,2.542518107391466,-0.12352571183494018,0.8650452781371281,0.9817938766709788,,,,,blend25_mdz_tail200_anchor,eval_step,100_250
115950,3.9644327405924957,2.72907107832673,-0.2893970339845754,0.8583958602846055,0.9711082363087538,,,,,mdz_all_anchor,eval_step,100_250
115950,4.2001628140812866,2.777905907718802,-0.1914503665367211,0.8344976282880552,0.9770763260025873,,,,,blend10_u_md_tail30_median_anchor,eval_step,100_250
115950,4.201791728246286,2.7836967878619165,-0.19050634813415,0.8340750323415265,0.9770677015955153,,,,,blend10_u_md_tail100_anchor,eval_step,100_250
115950,4.218396972029834,2.8727693946169746,-0.1798604955566851,0.8223285899094437,0.9755756791720569,,,,,blend10_md_tail200_anchor,eval_step,100_250
115950,4.235101454287513,2.812149282493267,-0.17799548525143302,0.8288486416558861,0.9762225097024579,,,,,blend10_mdz_tail200_anchor,eval_step,100_250
115950,4.301494448159165,2.5608637781343426,0.10175375930443471,0.8724450194049159,0.9746701164294955,,,,,md_tail50_anchor,eval_step,100_250
115950,4.395226998972328,3.191451769375201,-0.011881327094588662,0.8020094868477792,0.9589047003018543,,,,,u_md_all_anchor,eval_step,100_250
115950,4.61734786819453,3.04109417852523,-0.21430866752909214,0.8045795601552393,0.9690987494609745,,,,,anchor,eval_step,100_250
115950,5.204565822095261,2.397349548655822,0.14882315524751594,0.8790426908150065,0.9571625700733074,,,,,mdz_tail200_anchor,eval_step,100_250
115950,5.290004090579654,3.159958044136733,0.13017305219501435,0.8151789564467443,0.9595774040534714,,,,,md_tail200_anchor,eval_step,100_250
115950,6.374604779966447,3.539367995337595,-0.03272216034705626,0.8008538163001294,0.9361103924105217,,,,,z_tail200_anchor,eval_step,100_250
115950,6.449303340938614,5.755719706770226,-0.9315924105217687,0.4504959034066408,0.916222509702458,,,,,u_const_anchor,eval_step,100_250
115950,6.557093036294636,5.823622426953077,-1.2851758235615138,0.44496765847347997,0.9077533419577404,,,,,z_all_anchor,eval_step,100_250
115950,72.40257118689027,68.37862252929438,68.37862252929438,0.0005692108667529108,0.001379905131522208,,,,,md_all_anchor,eval_step,100_250
193158,4.953467067044081,3.225654181177748,-0.13592515123495263,0.7832448047712236,0.9382888619679226,,,,,u_md_tail100_anchor,eval_step,250_500
193158,5.112692176253871,3.2722732166263038,-0.1570041623831432,0.8071682249764441,0.9379730583253089,,,,,u_md_tail30_median_anchor,eval_step,250_500
193158,6.100147632931885,4.413929579574861,-0.42781546759936245,0.6542053655556591,0.8938537363194897,,,,,blend25_u_md_tail100_anchor,eval_step,250_500
193158,6.104385478403038,4.4210151275105245,-0.43308522038641145,0.6567576802410462,0.8938796218639663,,,,,blend25_u_md_tail30_median_anchor,eval_step,250_500
193158,6.77324497053001,5.033508929966585,-0.34015545525982066,0.6015696994170575,0.8622733720581078,,,,,blend25_md_tail200_anchor,eval_step,250_500
193158,6.852953151222426,4.816893869237341,-0.25652116263111785,0.6352675012166206,0.8734869899253461,,,,,blend25_mdz_tail200_anchor,eval_step,250_500
193158,6.995477642630912,5.001998446867579,-0.48830143198706544,0.6066536203522505,0.8565630209465825,,,,,blend10_u_md_tail30_median_anchor,eval_step,250_500
193158,6.995994361809223,4.999944201019534,-0.4861935308722489,0.6055301877219685,0.8581989873575001,,,,,blend10_u_md_tail100_anchor,eval_step,250_500
193158,7.091324091410126,5.182100801767404,-0.45112952593642763,0.5874620776773418,0.850780190310523,,,,,blend10_md_tail200_anchor,eval_step,250_500
193158,7.135191449794802,5.093339832339093,-0.4176758088849469,0.6006326427070067,0.855361931682871,,,,,blend10_mdz_tail200_anchor,eval_step,250_500
193158,7.646472108495676,5.434162240238577,-0.5251122397208341,0.5762225742656271,0.8351763841000631,,,,,anchor,eval_step,250_500
