well,known_len,eval_len,last_tvt,known_tvt_range,known_tvt_std,eval_tvt_span,eval_drift_abs_mean,md_tail50_slope,md_tail200_slope,u_tail30_median_slope,u_tail100_slope,anchor_rmse,anchor_mae,md_all_anchor_rmse,md_all_anchor_mae,md_tail200_anchor_rmse,md_tail200_anchor_mae,md_tail50_anchor_rmse,md_tail50_anchor_mae,z_all_anchor_rmse,z_all_anchor_mae,z_tail200_anchor_rmse,z_tail200_anchor_mae,mdz_all_anchor_rmse,mdz_all_anchor_mae,mdz_tail200_anchor_rmse,mdz_tail200_anchor_mae,u_const_anchor_rmse,u_const_anchor_mae,u_md_all_anchor_rmse,u_md_all_anchor_mae,u_md_tail100_anchor_rmse,u_md_tail100_anchor_mae,u_md_tail30_median_anchor_rmse,u_md_tail30_median_anchor_mae,blend10_md_tail200_anchor_rmse,blend10_md_tail200_anchor_mae,blend25_md_tail200_anchor_rmse,blend25_md_tail200_anchor_mae,blend10_mdz_tail200_anchor_rmse,blend10_mdz_tail200_anchor_mae,blend25_mdz_tail200_anchor_rmse,blend25_mdz_tail200_anchor_mae,blend10_u_md_tail100_anchor_rmse,blend10_u_md_tail100_anchor_mae,blend25_u_md_tail100_anchor_rmse,blend25_u_md_tail100_anchor_mae,blend10_u_md_tail30_median_anchor_rmse,blend10_u_md_tail30_median_anchor_mae,blend25_u_md_tail30_median_anchor_rmse,blend25_u_md_tail30_median_anchor_mae
a4719920,1611.0,5884.0,11440.05,555.25,155.90712541003552,25.17000000000189,6.296006118287062,-0.007907322929171323,0.01756357908947662,-0.020000000000436557,-0.023575817581762026,7.205451003735875,6.296006118287062,966.9555692344599,838.2878489130867,55.6335844250517,48.78282331306823,31.72961705665949,27.301073227659177,108.73378312903151,94.40393440638604,50.08840877314492,43.854397328711414,53.69109590894001,46.14011343693076,38.7840726395707,33.73628293968358,120.40120923026096,104.44410095173177,21.672763150029848,18.19283150183128,40.44239784561254,35.07225837901312,52.542277390589646,45.5941009504472,5.979504442525089,4.8183354788326715,12.043357838058812,10.70134768939811,5.221899441331276,4.431723875008228,7.815091774799303,6.919799806484396,5.160100964757694,4.343114664232961,8.075475964589852,7.16480823671763,5.328330264953102,4.226684738255154,10.75958086911185,9.567210655717343
a48640d9,2054.0,4532.0,12509.75,794.1200000000008,235.61080595597966,27.399999999999636,20.87411297440437,-0.022039375750298167,0.0017651541288532893,-0.08000000000174623,-0.07939585958595892,21.626612771414322,20.87411297440437,905.3025934518191,779.6816961260265,17.678775973260482,16.92234376613606,77.44792898763887,70.82635811245517,63.73776207900885,59.77378900779045,18.746914417105785,18.051183333343584,105.39996684848035,82.43450032188021,271.759406449591,204.626163603388,70.63604795028655,66.36207855251452,40.475161489291644,29.96760475846393,139.93058822887548,113.5893521171198,141.50123027919597,114.95847749733869,21.219631778001585,20.474045075454455,20.61350437270486,19.873943227029578,43.30603827989544,37.960017775597535,80.362626655102,63.602243425859434,32.025823953969635,30.145570808325605,49.25911897793008,44.05275909222041,32.17935334284831,30.282497793864664,49.652944268892256,44.395075023055135
a4cdbb0f,1555.0,5204.0,10964.9,549.0900000000001,163.55997680943602,41.409999999999854,9.041502690238257,-0.007246098439376781,-0.0414917347933694,0.030000000000654836,0.023586138613860802,11.150021440885435,9.041502690238257,956.0995889371749,829.978211210835,126.48978263688194,107.1407755414815,25.61374386854988,19.563005642536275,112.24131916131088,94.34772609821857,61.824115993784815,50.70026647776309,29.690569414536306,27.481911361081195,51.70181495117379,41.822106179504225,103.79181390090544,87.05959454265987,8.778507080237805,7.251861545408632,33.48053255728614,25.676668800087118,15.289791505903892,10.39890660921997,17.68535860888624,13.370542724764949,34.32779495673625,26.505744870977356,12.427743935693668,9.726629318850264,17.12551486602474,12.795248139645208,11.44784775877384,8.940331741387189,13.411572375740064,10.22715256942516,10.8439454842602,8.574637009980613,10.7172271717176,8.430384799984061
a4f989c2,1639.0,5385.0,11170.570000000002,597.6700000000019,172.02573371144445,21.719999999999345,9.295052924792236,0.022451380552217622,0.024601552538813458,-0.039999999999054126,-0.035841524152417606,10.578786672639081,9.295052924792236,996.3828067613888,865.0249628036056,84.89538274365407,75.40269593595825,78.23262265580811,69.61228277605566,94.47604189435067,82.62647278974026,61.43412723030647,54.42399153158146,16.02765655653498,14.323913913482386,116.28558133568029,103.50946922032372,100.00835298874344,87.34024512534944,18.225946435914622,16.272031278793722,12.018263963722733,9.51501400468116,24.679079648524294,20.41039554064112,17.168929923584646,15.826260487902767,28.080423270847543,25.743224425188885,20.226098518750856,18.6402255475133,35.913959594150924,32.77778546859669,8.783940114181192,7.4751477464977265,6.392473515840115,4.881820213633876,7.930169497762032,6.38849805037725,5.5221023468549895,4.279180129826609
a5aa7973,1833.0,4616.0,10953.87,831.9400000000005,262.51659991762915,35.44999999999891,12.101347487002037,0.006950300120053075,0.01710384759619142,0.049999999999272404,0.057834803480353386,14.159778554983859,12.101347487002037,1176.1358819427755,1016.1894119353129,58.53803897008736,48.00496361370879,31.782206930963483,25.969626485683122,109.6544267018752,96.35753486043406,52.04069204529626,42.3242067931687,14.183556178948988,12.951840900238707,31.709418184707864,26.114222252678815,102.47098708742135,90.18103986135051,13.549962840091213,12.35907411650243,52.103820142840284,43.330603973045285,31.404866552934106,25.649350085072886,18.331920401502526,15.405233920650213,24.84634900343158,20.50730083145607,15.853930298850772,13.478849240482587,18.43836650172534,15.55896311329068,17.6785052939044,14.865434470081881,23.209017347072272,19.15405467408193,15.745671383184803,13.342511698299994,18.222115835986862,15.247068890456571
a5e6f7dc,1682.0,5649.0,11402.85,704.369999999999,214.21117804640355,19.979999999999563,4.85630731102859,-0.005646578631440883,-0.009953866346658985,-0.010000000000218279,-0.022601740174025064,6.350818327780092,4.85630731102859,1280.724962343004,1110.8295775235829,30.252732974932908,26.16240814766723,16.669174498444736,14.474109092739694,168.21383680523863,147.2796560522502,61.78605296919052,53.56386485152285,48.73084726221479,43.36855684462166,22.015098550567906,18.986812698264167,178.04412783494286,155.78641883519177,76.84905669531767,67.95016114696419,104.44010723959246,91.93650284357095,145.46346327434313,127.53641883457512,5.739762104346974,4.454284180691488,7.835504611757225,6.8252107391782175,5.658010744017357,4.262766291085009,6.443118811586856,5.505464538552526,13.82653522742294,12.831928563698767,28.414639490718002,26.01602427701078,17.723474621244872,16.39192016279918,38.60953501489036,34.916003274761835
a612d5a0,1831.0,5329.0,11145.740000000002,726.8500000000022,217.72108677527265,27.329999999999927,18.203146931880703,0.0352859543817485,0.031782757068926956,-0.039999999999054126,-0.03659465946594606,19.256901319606147,18.203146931880703,1134.7798876544387,979.3547289043267,81.20641505569577,66.61288337323323,91.92898953076777,75.88003544625725,74.316202043308,63.47515175222427,33.034595931956176,26.360844174779743,40.14300510969563,33.91490116162372,16.561879641939576,12.523894165506178,85.83949954477885,73.79898104710165,66.59120888749179,58.15547288526049,26.895408865376467,23.725822646064163,37.346684829706625,32.8010189503776,11.504880428736195,9.855230989106465,11.54742543903449,8.677921256903256,16.141295098019906,15.151033056857088,11.706485954464553,10.572862244321632,19.810747893945106,18.755410881657102,20.750790061481155,19.58380680632167,20.770132492954925,19.662934133730392,23.231024827464225,21.852614936504928
a622ce4d,1749.0,6298.0,11393.240000000002,609.9899999999998,175.19973483374926,29.479999999997744,12.23398062876957,-0.00022665066026416155,-0.007069196729917229,-0.049999999999272404,-0.045831083108305054,14.236097814848371,12.23398062876957,1060.8691158328302,914.8887489590227,36.901322759746606,34.49841572964389,14.809372218622617,12.94781688327155,148.57843789080306,124.93641845397812,42.19280216071148,39.18992475932108,21.211077441966157,20.078589073555992,9.184670430819027,8.231527010822582,168.59080718425238,142.3382121308373,16.726557286377155,15.651953761143002,9.19110337487097,8.237798355021258,16.229174333022772,15.136787866871133,16.096294863827072,14.460424138857006,19.19662302305858,17.80008940398815,13.270423461644295,11.214387843554814,11.93309495802639,9.713229270758461,13.268144286761085,11.211261110158171,11.928020293841303,9.70599462631062,14.292396339492958,12.524261352579739,14.441001767180579,12.959682438294978
a645da9a,1613.0,5153.0,12022.35,757.3500000000004,234.1307571389011,26.5099999999984,7.8968038036095525,0.0011587034813947896,-0.006726753168829413,-0.050000000001091394,-0.04964566456645663,8.95109258097404,7.8968038036095525,1340.4101005868845,1157.0091423582262,19.660129420749815,19.14857666340486,10.403822186705309,9.461831540179954,146.50743598979219,125.6610636415819,21.949911953294038,21.417382663960897,38.55778746717611,34.05807502126066,4.742056625728183,3.477467649209884,146.26827514427447,125.44928779351766,116.42150328620097,99.58654162351525,4.468965232127849,3.203314041806217,4.927001095934055,3.6771492352246353,8.64325206060819,7.266300681026314,9.033538023631406,6.650907929075762,8.33412426687054,7.323041462315969,7.4500360435595585,6.46268019280842,8.344214720970614,7.344226377295229,7.466514244482789,6.515365142729122,8.319991283799594,7.30295167850736,7.422074371171571,6.412980787580186
a692b17e,1843.0,3566.0,11174.29,838.159999999998,256.52486914854785,34.3799999999992,10.48426528323005,-0.04898343337334785,-0.02302415810395166,0.020000000000436557,0.03755049504950799,13.13806144470883,10.48426528323005,894.6799155985597,774.7590852085921,58.024264763555415,49.8893914155157,111.17741467830866,96.0797246028383,65.03973935234447,52.80156803178022,32.54754062632392,27.168145490133863,21.419285454715503,16.797499923865857,21.121007149785616,17.460633922191665,63.50853489106848,51.57893157599521,31.28414399568078,24.519017423012336,15.924553926560979,15.392376344802294,23.058632674525303,18.033558608423817,17.020914054004628,14.296626654593304,23.44493307275965,20.081877623125013,13.631321766807067,11.17417492749843,14.543483389418782,12.213398701724232,10.771333331445884,8.40188292259601,7.621894789689474,6.295417535663702,13.554252023834705,11.199361188935892,14.516017240917257,12.299038137795323
