segment_type,segment,wells,rows,pf_pooled_rmse,beam_pooled_rmse,ml_pooled_rmse,last_anchor_pooled_rmse,pf_minus_beam_rmse,pf_minus_ml_rmse,beam_minus_ml_rmse,pf_beats_ml_wells,beam_beats_ml_wells,pf_beats_beam_wells,best_pf_wells,best_beam_wells,best_ml_wells,best_last_anchor_wells,mean_pf_beam_abs_diff,mean_pf_std,mean_beam_spread,mean_prefix_length,mean_eval_length,mean_pfx_rmse,mean_likpf_abs_delta
pf_minus_beam_rmse_bucket,10+,57,289689,29.8376363813981,12.917700540175739,11.620376084097028,13.321853284504272,16.91993584122236,18.21726029730107,1.2973244560787105,0,20,0,0,11,34,12,19.247265180602923,1.3925983707144558,4.054387310287315,1649.0935831184477,5282.581240571785,14.40565085644122,11.424202327593656
pf_minus_beam_rmse_bucket,2-5,72,339478,12.824496001219826,9.907649729298294,7.721991502641023,10.034841570345156,2.916846271921532,5.102504498578803,2.185658226657271,8,20,0,0,13,49,10,7.28586193234576,1.3474983890529608,2.6134595590268823,1720.0155238336504,5007.390799992931,13.8471954382066,6.529138158295665
pf_minus_beam_rmse_bucket,5-10,83,419605,17.750364240065373,11.208226710083032,8.976094123913972,11.32025078223558,6.542137529982341,8.774270116151401,2.23213258616906,3,25,0,0,15,58,10,9.956681509877328,1.3844215687125894,2.858081351586613,1683.052318251689,5502.671176463579,13.306254710848298,6.873489771269926
pf_minus_beam_rmse_bucket,<-10,101,504532,14.251240244697495,28.939649815307586,14.427446542558094,28.985189452717613,-14.68840957061009,-0.17620629786059894,14.512203272749492,63,2,101,63,0,38,0,18.43975538372222,1.4225981380363464,3.6008665318940762,1649.413133359232,5317.66944415815,14.464144591886141,18.122723453177098
pf_minus_ml_rmse_bucket,-10--5,25,121736,6.724859881580961,14.18703433153675,12.867013612095576,15.034934587009728,-7.46217444995579,-6.142153730514615,1.3200207194411746,25,15,20,19,3,0,3,9.988450385900737,1.5309645639198675,3.330912084332605,1661.691414207794,5060.277682854702,15.15797484536456,11.529518426523776
pf_minus_ml_rmse_bucket,-2-0,120,559600,6.1474969157604455,12.67503583330309,6.895582288799643,13.068502666948127,-6.527538917542644,-0.7480853730391974,5.779453544503447,120,19,110,108,6,0,6,7.941275987650096,1.4470549606465761,3.0492552784012763,1691.0349338813437,4975.3585275196565,14.021779745861506,6.995265530819076
pf_minus_ml_rmse_bucket,-5--2,76,368086,7.108424708863761,15.50484633535793,9.934819849411197,15.744073133658464,-8.39642162649417,-2.8263951405474357,5.570026485946734,76,21,70,67,4,0,5,10.173370854077593,1.2052631436237997,3.3136252716188856,1691.9766766462185,5144.199551191841,14.346609950074711,9.87280288678557
pf_minus_ml_rmse_bucket,0-2,150,718978,10.148599895910685,14.50413408694967,9.396325952118456,14.674615792955551,-4.355534191038984,0.752273943792229,5.107808134831213,0,17,121,0,14,128,8,7.750557744193315,1.456326362102016,2.903154730756218,1686.0800622550341,5152.952718998356,14.205464918524628,7.529093768297235
pf_minus_ml_rmse_bucket,10+,116,585164,27.19899136144702,20.285211496912716,10.634775923681621,19.710689264070016,6.913779864534305,16.564215437765398,9.650435573231094,0,10,21,0,6,103,7,14.307679198953974,1.2745643405653733,3.3460355784176095,1666.2638491089676,5280.80959184092,14.469684936215492,11.333611759406585
pf_minus_ml_rmse_bucket,2-5,148,742833,10.174167979375394,13.60603074494523,7.1123784743414395,14.145319006800126,-3.4318627655698357,3.0617895050339543,6.49365227060379,0,16,86,0,10,128,10,8.637011476258516,1.362058893735596,2.893853360780086,1715.8395615165184,5412.788458509517,14.118565793838588,8.599357388044007
