experiment,config_path,parse_error,status,route,metrics_status,metrics_cv,has_sig_p,sig_p_entries,local_contract_count,numeric_sig_p_values,numeric_step_values,numeric_momentum_values,nondefault_sig_p_values,nondefault_step_values,nondefault_momentum_values,position_sigma_schedule_paths,momentum_schedule_paths,has_position_intervention_design,has_momentum_intervention_design,terminal_without_run,has_recorded_metric,completed_position_intervention,completed_momentum_intervention
exp281_exp226_residual_offset_exact_hmm_transition_probe,/home/kento/work/kaggle/ROGII/experiments/exp281_exp226_residual_offset_exact_hmm_transition_probe/config.yaml,,completed_train_side_guard_failed,pf_beam,completed_train_side_guard_failed,9.827419940583813,True,"[[""model.hmm.sig_p"", 0.02]]",1,[0.02],[0.35],[0.998],[],[],[],[],[],False,False,False,True,False,False
exp294_calibrated_typewell_gapfill_known_prefix_selfgr_hmm,/home/kento/work/kaggle/ROGII/experiments/exp294_calibrated_typewell_gapfill_known_prefix_selfgr_hmm/config.yaml,,stage0_completed_fail_branch_closed,ensemble,stage0_completed_fail_branch_closed,null,True,"[[""model.hmm.sig_p"", 0.02]]",1,[0.02],[0.35],[0.998],[],[],[],[],[],False,False,False,False,False,False
exp295_prefix_anchored_wholewell_gr_alignment_ssm,/home/kento/work/kaggle/ROGII/experiments/exp295_prefix_anchored_wholewell_gr_alignment_ssm/config.yaml,,stage_a_failed_runtime_timeout_branch_closed,ensemble,stage_a_failed_runtime_timeout_branch_closed,null,True,"[[""model.state_space.sig_p"", 0.02]]",1,[0.02],[0.35],[0.998],[],[],[],[],[],False,False,False,False,False,False
exp296_exp223_self_gr_known_tvt_support_gate,/home/kento/work/kaggle/ROGII/experiments/exp296_exp223_self_gr_known_tvt_support_gate/config.yaml,,completed_train_side_guard_failed_closed,ensemble,completed_train_side_guard_failed_closed,12.15974913969598,True,"[[""model.hmm.sig_p"", 0.02]]",1,[0.02],[0.35],[0.998],[],[],[],[],[],False,False,False,True,False,False
exp299_base_posterior_self_gr_boundary_handoff,/home/kento/work/kaggle/ROGII/experiments/exp299_base_posterior_self_gr_boundary_handoff/config.yaml,,kaggle_cpu_v2_completed_train_side_guard_failed_closed,ensemble,kaggle_cpu_v2_completed_train_side_guard_failed_closed,11.7895775608145,True,"[[""model.hmm.sig_p"", 0.02]]",1,[0.02],[0.35],[0.998],[],[],[],[],[],False,False,False,True,False,False
exp305_tempered_raw_smoothed_exact_hmm_emission,/home/kento/work/kaggle/ROGII/experiments/exp305_tempered_raw_smoothed_exact_hmm_emission/config.yaml,,train_side_tempered_exact_hmm_gate_failed_closed,pf_beam,train_side_tempered_exact_hmm_gate_failed_closed,13.218199371895286,True,"[[""model.hmm.sig_p"", 0.02]]",1,[0.02],[0.35],[0.998],[],[],[],[],[],False,False,False,True,False,False
exp307_finite_only_robust_sigma_gr,/home/kento/work/kaggle/ROGII/experiments/exp307_finite_only_robust_sigma_gr/config.yaml,,completed_train_side_gate_failed_closed,pf_beam,completed_train_side_gate_failed_closed,15.661340918077913,True,"[[""model.fixed_hmm.sig_p"", 0.02]]",1,[0.02],[0.35],[0.998],[],[],[],[],[],False,False,False,True,False,False
exp308_imputed_gr_confidence_downweight,/home/kento/work/kaggle/ROGII/experiments/exp308_imputed_gr_confidence_downweight/config.yaml,,closed_without_run_parent_exp307_gate_failed,pf_beam,closed_without_run_parent_exp307_gate_failed,null,True,"[[""model.fixed_hmm.sig_p"", 0.02]]",1,[0.02],[0.35],[0.998],[],[],[],[],[],False,False,True,False,False,False
exp309_well_adaptive_transition_noise,/home/kento/work/kaggle/ROGII/experiments/exp309_well_adaptive_transition_noise/config.yaml,,closed_without_run_upstream_exp307_chain_failed,pf_beam,closed_without_run_upstream_exp307_chain_failed,null,True,"[[""model.fixed_hmm.sig_p"", 0.02]]",1,[0.02],[0.35],[0.998],[],[],[],[],[],False,False,True,False,False,False
exp323_time_varying_exp226_dip_rate_prior,/home/kento/work/kaggle/ROGII/experiments/exp323_time_varying_exp226_dip_rate_prior/config.yaml,,closed_without_run_upstream_exp307_chain_failed,pf_beam,closed_without_run_upstream_exp307_chain_failed,null,True,"[[""model.fixed_parent.sig_p"", 0.02]]",1,[0.02],[0.35],[0.998],[],[],[],[],[],False,False,True,False,False,False
