episode_id,well,rows,episode_sse,mean_error_ft,rmse_ft,pre128_true_minus_init_rate_median,observed_emission_evidence_class,viterbi_recovery_class,pre128_kernel_bias_sum_ft,pre128_rate_mean_reversion_position_bias_sum_ft,onset_kernel_bias_sum_ft,pre128_bias_sign_matches_episode_error,pre128_rate_mean_reversion_bias_sign_matches_episode_error,onset_bias_sign_matches_episode_error,episode_kernel_bias_mean_ft_per_row,episode_representation_error_abs_mean_ft_per_row,episode_supported_representation_error_abs_mean_ft_per_row,episode_supported_compensating_rate_shift_abs_mean,episode_supported_compensating_diffusion_rows_proxy_median,episode_true_rate_outside_fraction,episode_true_nearest_rate_edge_fraction,episode_best_compensating_rate_edge_fraction,episode_best_compensating_rate_edge_log_mass_loss_sum
153552f5:001,153552f5,557,111457.42088900197,-14.01121184919224,14.14577992078657,1.8189894035458565e-12,near_tie,partial_recovery,1.045440637195676,-0.009700000000000736,9.533935250653009,False,True,False,-0.004944240758389845,0.0030550271507370722,0.002208816007535675,0.023165137614952317,156.25000000545705,0.02154398563734291,0.02872531418312388,0.1687612208258528,5.816287949500207
1550491d:000,1550491d,2092,1396498.0642997366,24.726703871892788,25.83683602428076,-0.0100000000002182,truth_strong,not_better,0.8245651929285782,-0.012559999999997682,2.278434489726833,True,False,True,0.0017045397209287092,0.0023525878147866216,0.0009167232842362548,0.026924916308144413,156.25000001091394,0.0004780114722753346,0.0004780114722753346,0.07217973231357552,9.343185961431184
1590af81:000,1590af81,971,169533.7727280039,-12.972371781668537,13.21351914852234,-0.0199999999986175,truth_strong,large_recovery,-1.7889945528871967,-0.010900000000001464,-4.063649043122867,True,True,True,-0.0016605196532419263,0.0004819546475675918,0.0004819546475675918,0.028027806385284123,156.2500000118235,0.0,0.0,0.0,0.0
15e154a1:000,15e154a1,215,29143.45685425077,-11.61001627906992,11.64263553121862,0.0,truth_strong,not_better,-3.020590537896916,0.005939999999998695,-4.02519133631633,True,False,True,0.002459530571634649,0.0013665962418106974,0.0013665962418106974,0.0443953488372198,624.9999999599825,0.0,0.0,0.10232558139534884,1.3612588817979208
15e154a1:001,15e154a1,462,75808.4213412518,-12.72280627705643,12.809664011231192,0.0,near_tie,not_better,-1.7640569600112679,0.00484000000000015,-3.0414516244018346,True,False,True,-0.0003801586444114901,0.0006671384541193536,0.0006671384541193536,0.03732683982686267,399.9999999956345,0.0,0.0,0.0,0.0
173ed841:000,173ed841,3558,2152878.1780905225,-23.901991849353703,24.598394142795307,0.0399999999990541,truth_strong,partial_recovery,-1.4968101509457363,-0.021120000000002637,-1.5187467810915296,True,True,True,-0.0015648154243220285,0.004498915163613249,0.0026257807210442762,0.03244406683670985,399.9999999869034,0.007588532883642495,0.011242270938729624,0.12619449128724003,27.782056269421197
1770d7c6:000,1770d7c6,1317,680103.683477009,-22.058552771450437,22.72451777334644,-0.0200000000022555,candidate_strong,large_recovery,1.4557158290171768,-0.008400000000001462,0.9970207793098516,False,True,False,0.00530627629994175,0.0010827055325361456,0.00040393546988699635,0.022812024353332322,156.24999999454283,0.002277904328018223,0.002277904328018223,0.009870918754745633,0.804380248335135
177622d7:000,177622d7,262,58424.7208567511,-14.686891221374191,14.933021053151272,0.0299999999951978,truth_strong,partial_recovery,-1.4457657593973732,-0.011639999999999425,-2.013612273263302,True,True,True,-0.018713697817402286,0.0007489519997094917,0.0007489519997094917,0.042175572519089786,506.2499999754437,0.0,0.0,0.07633587786259542,1.2375080743617461
19137a89:000,19137a89,1174,191584.57564200443,-12.741625212947335,12.774567993842505,0.020000000001346,candidate_strong,not_better,-3.0603062033863293,0.004459999999999131,-3.838958451568488,True,False,True,-0.00016245509217652188,0.00031988463716576903,0.00031988463716576903,0.018854344122999255,156.2499999881766,0.0,0.0,0.09540034071550256,6.930045216425778
19137a89:001,19137a89,242,33979.7937969991,11.820371900826284,11.849572610941705,-0.0100000000002182,candidate_strong,not_better,2.0310140618710903,0.012799999999999284,2.4603242484837082,True,True,True,-0.0013667144411615502,0.008305844194298796,0.0006001764372602599,0.0376041666666685,400.0000000043656,0.008264462809917356,0.008264462809917356,0.012396694214876033,0.18562621115426192
