well,rows,initial_position_prior_mean_bias_ft,initial_position_prior_variance_ft2,initial_rate,rate_span,rate_step,initial_rate_prior_mean_bias,initial_rate_prior_variance,initial_rate_prior_edge_mass,initial_rate_transition_mass_loss,initial_rate_transition_conditional_mean_error,kernel_bias_mean_ft_per_row,kernel_bias_abs_mean_ft_per_row,kernel_bias_sum_ft,rate_mean_reversion_position_bias_abs_mean_ft_per_row,rate_mean_reversion_position_bias_sum_ft,representation_error_abs_mean_ft_per_row,supported_representation_error_abs_mean_ft_per_row,supported_compensating_rate_shift_abs_mean,supported_compensating_diffusion_rows_proxy_median,true_rate_outside_fraction,true_nearest_rate_edge_fraction,best_compensating_rate_edge_fraction,prediction_error_vs_cumulative_kernel_bias_corr,end_prediction_error_ft,end_cumulative_kernel_bias_ft
28473855,4290,3.9898639947466563e-17,0.5625,0.040000000000873115,0.1,0.0050000000000000044,-9.005102219461492e-12,9.999999942679186e-05,3.037941426922876e-09,1.8227652720526066e-10,-1.1862552606878296e-11,-0.0021612787199143855,0.010396313867446227,-9.271885708432714,6.497435897437467e-05,-0.2780200000000007,0.0009967913548269433,0.0009967913548269433,0.02113053613082424,156.2499999890861,0.0,0.0,0.03263403263403263,0.8232694058493166,-5.916000000001077,-9.27188570843273
28f4eda9,5266,3.9898639947466563e-17,0.5625,0.020000000000436557,0.1,0.0050000000000000044,0.0,9.999999999999973e-05,2.5261355426506895e-15,0.0,-1.734723475976807e-17,-0.0020576162799062986,0.009197595738841415,-10.83540732998657,4.382833270040528e-05,-0.22636000000000442,0.0007507571124985219,0.0004354884924755466,0.02398156944727493,156.25000000545705,0.000569692366122294,0.000569692366122294,0.01595138625142423,0.6440977990628909,-0.9220000000004802,-10.835407329986658
29b24409,5587,3.9898639947466563e-17,0.5625,0.030000000000654836,0.1,0.0050000000000000044,-9.329342853803269e-15,9.999999999931137e-05,4.567360206276476e-12,2.7400304247748863e-13,-2.057035097813298e-14,-0.0021248710106825863,0.007961574507925362,-11.871654336683608,7.32879899767316e-05,-0.4094599999999995,0.0003033441496612595,0.0003033441496612595,0.022056559871388645,156.24999999181446,0.0,0.0,0.009665294433506354,0.16427082615859084,1.1000000000003638,-11.87165433668374
29de15c8,3431,3.9898639947466563e-17,0.5625,0.020000000002255547,0.1,0.0050000000000000044,-3.469446951953614e-18,9.999999999999973e-05,2.526135546326701e-15,1.1102230246251565e-16,-1.3877787807814457e-17,0.000182315530483282,0.006314092539160192,0.6255245850881406,5.604197027105559e-05,-0.18216000000000365,0.002359499397861253,0.0002817199932748015,0.019058119159126745,156.24999999181446,0.0020402215097639173,0.0020402215097639173,0.0020402215097639173,0.8263761242926574,12.000999999998385,0.6255245850881447
2ab29395,1852,3.9898639947466563e-17,0.5625,-0.029999999998835847,0.1,0.0050000000000000044,9.336281747707176e-15,9.999999999931133e-05,4.56736020046089e-12,2.7400304247748863e-13,2.057035097813298e-14,-0.000622512521640163,0.0072914720693127485,-1.1528931900775818,5.1101511879084764e-05,0.09419999999999717,0.0003715331089012976,0.0003715331089012976,0.022583693304709447,156.25000000272848,0.0,0.0,0.005399568034557235,0.9604389314152412,-7.1710000000002765,-1.1528931900775907
2ac7cb6b,4990,3.9898639947466563e-17,0.5625,0.030000000000654836,0.1,0.0050000000000000044,-9.329342853803269e-15,9.999999999931137e-05,4.567360206276476e-12,2.7400304247748863e-13,-2.057035097813298e-14,0.005398076340921264,0.016417974493534285,26.936400941197107,9.239679358720238e-05,-0.43218000000000434,0.004769365637545702,0.0021438479151837846,0.02929203539836048,156.25000003819872,0.0036072144288577155,0.004208416833667334,0.14729458917835672,0.3184099714659897,0.3680000000003929,26.936400941196904
2acc78d4,4266,3.9898639947466563e-17,0.5625,-0.030000000000654836,0.1,0.0050000000000000044,9.336281747707176e-15,9.99999999993113e-05,4.567360206276475e-12,2.7422508708241367e-13,2.056341208422907e-14,-0.0008364034352352582,0.013361849505662734,-3.5680970547136113,5.970932958277321e-05,0.24740000000000167,0.0013076517799908082,0.0006192871141397644,0.027352182074341865,156.2500000118235,0.0009376465072667605,0.0009376465072667605,0.011954992967651195,0.891562761692006,4.131999999999607,-3.5680970547133697
2b034622,5203,3.9898639947466563e-17,0.5625,0.039999999999054126,0.1,0.0050000000000000044,-9.005109158355395e-12,9.999999942679186e-05,3.037941423607286e-09,1.8227652720526066e-10,-1.1862552606878296e-11,0.0010917585339518087,0.009248540094814671,5.680419652151261,7.079377282339638e-05,-0.3671000000000025,0.001086972447668776,0.00048160550438370014,0.023501357115400013,156.25000000545705,0.00864885642898328,0.008841053238516241,0.029021718239477225,0.34677066488824393,-17.45600000000013,5.68041965215122
2b06ad65,4256,3.9898639947466563e-17,0.5625,0.030000000000654836,0.1,0.0050000000000000044,-9.329342853803269e-15,9.999999999931137e-05,4.567360206276476e-12,2.7400304247748863e-13,-2.057035097813298e-14,-0.00017238505677620158,0.00586901012190713,-0.7336708016395139,6.14849624060237e-05,-0.25331999999999993,0.0008745823582835781,0.0003157017953630866,0.0176640018813339,156.2499999881766,0.0007048872180451127,0.0007048872180451127,0.010103383458646616,0.5914525815091869,-4.163000000000466,-0.7336708016395106
2b547943,3480,3.9898639947466563e-17,0.5625,-0.049999999999272404,0.1,0.0050000000000000044,3.1529657912310327e-09,9.999983128623682e-05,7.433597994867386e-07,4.4601587978476687e-08,2.4575477486354913e-09,-0.00275570966312934,0.01073281897581017,-9.589869627690103,5.059195402308093e-05,0.17506000000000146,0.0005002206137404867,0.0005002206137404867,0.025560344827769386,156.25000000545685,0.0,0.0,0.017816091954022988,-0.3662117596953969,5.1229999999995925,-9.589869627690115
