well,episodes,episode_rows,suffix_rows,episode_sse,suffix_rmse_ft,suffix_max_abs_error_ft,last_known_tvt,last_known_md,shard_index
69c1bdad,1,1306,2714,308482.8033771515,11.206890293211373,24.9619140625,11414.38,12506.0,2
69e41fa6,3,1141,5772,247899.88883304596,7.328967343493057,25.1494140625,12051.81,13009.0,3
6a0ff78e,2,1604,6465,311606.2766113281,9.510859687856113,18.71484375,11206.01,12069.0,0
6a8fa194,1,2462,3017,2087889.3388032913,26.3776285152295,38.8310546875,11989.88,12627.0,1
6ae68655,1,414,4204,61856.809841156006,6.08700153574758,14.67578125,12126.45,13573.0,0
6d1d74e1,1,3115,5830,2059299.2668190002,19.03813278899145,46.1904296875,10962.94,12044.0,0
6d590e26,1,198,6096,34377.14248943329,5.182747835201473,15.6162109375,11374.69,12206.0,0
6d6d93af,1,2246,3595,555157.7679014206,12.891611148685959,24.7646484375,11522.62,12595.0,1
6dbe4b60,2,717,4648,158090.2942867279,7.105374045077369,17.6220703125,11397.76,12813.0,0
6e6d122c,2,574,5632,104716.71793270111,5.806451287058195,17.224609375,12263.45,13224.0,2
6e9ccd38,3,2787,8282,493965.3009223938,9.440435469667968,17.5380859375,10690.94,11802.0,0
6ede926a,1,208,4938,38955.64523220062,4.285719948536908,15.8271484375,11196.3,12273.0,3
708caea9,1,5828,6548,13103965.944109917,44.79469680755125,67.611328125,11014.1,11994.0,2
70925e23,3,1278,5947,211894.1097688675,6.5880639075031455,17.48828125,12705.63,13985.0,2
7224331b,1,952,6063,601877.8291730881,11.317586670082557,30.6904296875,12174.79,13287.0,0
722cf0d8,1,579,5143,77865.18048000336,5.43064067549667,13.767578125,10935.75,12157.0,1
7256229b,2,1249,5415,362560.9214143753,9.975907235564621,21.6630859375,10895.55,11839.0,1
726f3dc2,2,378,6723,52114.690227508545,4.244481215928671,14.263671875,11439.94,12310.0,2
7271dd80,1,588,4340,81956.26873207092,6.196512685135018,13.21875,10983.49,11581.0,2
729f4217,1,193,6195,51277.26291847229,3.705943314994115,20.3330078125,11223.67,12091.0,1
73348914,1,3537,4221,1575088.984290123,19.347127517002722,27.552734375,12741.68,13890.0,1
739a914f,1,585,5505,134569.73504257202,5.712888622491974,19.4443359375,11387.02,12485.0,2
73b1447d,2,770,5670,134772.4049396515,6.562319979958167,17.4833984375,12286.12,13317.0,3
75d20a82,1,413,5067,85829.97289848328,6.159814075458075,17.0458984375,12056.27,13328.0,1
76201745,1,536,4448,92570.1836719513,5.634487960441045,16.447265625,10618.89,11574.0,1
764072a5,2,1437,2949,289352.80280303955,10.337094086767028,21.986328125,11178.16,12136.0,3
77e4821c,1,193,5393,40441.974548339844,6.09202912515394,17.1171875,11183.9,11755.0,2
7850c72e,2,2388,5497,662914.421672821,11.939103137209996,24.4150390625,12873.07,13986.0,0
79507629,1,212,5302,31220.99406528473,4.743446014952931,14.8173828125,12559.1,13501.0,3
796dbd4c,3,2465,6248,517962.3317575455,9.818070761659197,18.875,10897.98,11875.0,2
