episode_id,well,start_row_idx,end_row_idx_exclusive,start_suffix_offset,rows,suffix_rows,audit_start_row_idx,audit_start_suffix_offset,start_suffix_fraction,episode_suffix_fraction,rows_from_last_within5_to_episode_start,rows_from_episode_end_to_next_within5,pre128_error_slope_ft_per_row,pre128_error_start_ft,pre128_error_end_ft,mean_error_ft,rmse_ft,error_std_ft,error_slope_ft_per_row,error_sign_consistency,max_abs_error_ft,episode_sse,last_known_tvt,last_known_md,episode_start_md_since,episode_end_md_since,shard_index
1295a25b:001,1295a25b,4766,5044,3280,278,5551,4638,3152,0.5908845253107549,0.0500810664745091,982,,-0.012725933461240787,8.537109375,9.9462890625,14.036656221897482,14.09513090046739,1.282574446017611,0.0031205121170037303,1.0,15.2685546875,55231.01479816437,11752.77,12547.0,3281.0,3558.0,3
1295a25b:002,1295a25b,5252,7037,3766,1785,5551,5124,3638,0.6784363177805801,0.32156368221941994,1468,,0.01827002907602631,7.6962890625,9.927734375,24.157220544467787,24.883816270049316,5.969338969058018,-0.0006606847213170496,1.0,36.1533203125,1105279.6972084045,11752.77,12547.0,3767.0,5551.0,3
12f0cd90:000,12f0cd90,5990,7431,4506,1441,5947,5862,4378,0.7576929544308054,0.24230704556919455,141,,0.028544491801238327,5.349609375,9.9619140625,26.692127320437198,28.4678000168475,9.896765982319318,0.022604497897330943,1.0,44.56640625,1167808.9340686798,11394.42,12293.0,4507.0,5947.0,1
137d1e44:000,137d1e44,2364,2670,605,306,4554,2236,477,0.13285024154589373,0.06719367588932806,241,544.0,0.01459367518415383,7.853515625,9.97265625,11.728202869689543,11.756000592085858,0.8079649550129087,0.00368394135368143,1.0,13.0693359375,42290.28627586365,12750.83,13649.0,606.0,911.0,1
137d1e44:001,137d1e44,3405,6313,1646,2908,4554,3277,1518,0.3614404918752745,0.6385595081247255,67,,-0.10869065965625573,2.2939453125,-9.955078125,-33.31186933137036,34.357621650530476,8.41222486211036,-0.00543385528966851,1.0,47.8310546875,3432737.44921875,12750.83,13649.0,1647.0,4554.0,1
13f598d9:000,13f598d9,3529,3668,1901,139,7306,3401,1773,0.2601970982753901,0.019025458527237887,360,1822.0,-0.029643401233426514,-5.86328125,-9.9853515625,-12.872962567446043,12.908513756882053,0.9573725234965574,-0.011670469525001117,1.0,14.5673828125,23161.532110214233,12518.61,13620.0,1902.0,2040.0,3
13f598d9:001,13f598d9,3869,4149,2241,280,7306,3741,2113,0.3067341910758281,0.03832466465918423,700,1341.0,-0.01390622496452115,-6.5185546875,-9.9072265625,-12.458687918526786,12.561535925701206,1.6041446822019276,-0.010036374445402228,1.0,14.814453125,44181.811747550964,12518.61,13620.0,2242.0,2521.0,3
14ad5efb:000,14ad5efb,3664,4420,2154,756,5842,3536,2026,0.3687093461143444,0.1294077370763437,92,138.0,0.060269973103848594,3.7724609375,9.9833984375,12.521644551917989,12.582590141552618,1.2369286097910672,0.0026140895418384578,1.0,15.24609375,119691.11045074463,11404.28,12363.0,2155.0,2910.0,2
14fee784:000,14fee784,1998,2420,502,422,4910,1870,374,0.10224032586558045,0.0859470468431772,203,216.0,-0.03288439205989059,-6.0263671875,-9.970703125,-13.607810648696683,13.717983862662539,1.735099595264496,-0.012242287793665652,1.0,16.76171875,79413.26029014587,10880.95,11812.0,503.0,924.0,2
14fee784:001,14fee784,4846,5121,3350,275,4910,4718,3222,0.6822810590631364,0.0560081466395112,95,,-0.04614765228008835,-4.3818359375,-9.9697265625,-15.292169744318182,16.11196460024013,5.0739479491172155,-0.02218475973085745,1.0,25.58203125,71388.73590183258,10880.95,11812.0,3351.0,3625.0,2
