candidate,anchor,segment_type,segment,rows,weight_sum,sse,anchor_sse,weighted_sse_share,rmse,anchor_rmse,delta_sse_vs_anchor,delta_rmse_vs_anchor,mae,anchor_mae,bias,anchor_bias,mean_abs_step_error,mean_abs_pred_step,mean_abs_true_step,worse_than_anchor
exp070,exp027,distance_bucket,000-100,300,300.0,294.10594142002776,0.007829852013238641,0.001102640827647044,0.990127839254487,0.005108767631317309,294.09811156801453,0.9850190716231697,0.8142990885417567,0.003977593525432894,-0.2797410156251438,-0.0005721818296478886,0.0510440340908476,0.051017992424242424,0.025521885521897526,True
exp070,exp027,distance_bucket,100-250,450,450.0,566.681509291166,0.011038216169350155,0.00212456152840759,1.1221819116655096,0.004952713323545243,566.6704710749966,1.1172291983419644,0.937258246527878,0.003850486210916036,-0.8510585937501634,-0.0005944040520423894,0.05797899305557318,0.055828993055555554,0.02128888888888873,True
exp070,exp027,distance_bucket,1000+,11151,11151.0,225548.0598099588,0.3078477352232115,0.8456085522864664,4.497411643229029,0.0052542541212827806,225547.75196222358,4.492157389107746,3.3662375151331463,0.004199734529312881,1.9523532432628015,-0.0012475380872022375,0.05865122802887946,0.05581723331988162,0.019092458075507586,True
exp070,exp027,distance_bucket,250-500,750,750.0,18111.63632449711,0.021757668915732803,0.06790284334434672,4.9141477829490245,0.005386114111395809,18111.614566828193,4.908761668837629,3.0420443750000996,0.004143154657778117,-3.0162888541667585,-0.0016521818297502856,0.053094062499925106,0.051265625,0.008106666666673845,True
exp070,exp027,distance_bucket,500-1000,1500,1500.0,22208.204529555253,0.041763395180731425,0.08326140201313219,3.847787635300338,0.005276576868938891,22208.162766160072,3.8425110584313993,2.6619124218750403,0.004125513201826834,-1.9425683072918025,-0.0007321818298150902,0.06762158854167864,0.06664908854166667,0.007773333333332024,True
exp070,exp027,tail_length_bucket,2500-5000,8137,8137.0,124628.80092975512,0.23003096774940923,0.467249330436294,3.913605541692465,0.005316930644147278,124628.57089878737,3.908288611048318,3.1525121695265215,0.0036706869519804227,0.7521559168380832,-0.0012715330236672576,0.04845239512906119,0.04547672095881991,0.016100799016595578,True
exp070,exp027,tail_length_bucket,5000+,6014,6014.0,142099.88718496723,0.16020589975285532,0.5327506695637059,4.860882852519085,0.005161281433074795,142099.72697906746,4.85572157108601,3.1302595376413556,0.004852759005107941,1.6640223722770413,-0.001054436063545139,0.07356779711667613,0.07170515315774156,0.019427906203224175,True
exp073,exp027,distance_bucket,000-100,300,300.0,169.5696661286037,0.007829852013238641,0.0006237781695020277,0.7518192737810591,0.005108767631317309,169.56183627659047,0.7467105061497418,0.6646705729167964,0.003977593525432894,-0.3901153645834772,-0.0005721818296478886,0.03407460016837785,0.031217119107744107,0.025521885521897526,True
exp073,exp027,distance_bucket,100-250,450,450.0,842.147617651518,0.011038216169350155,0.003097920231739758,1.36800553739256,0.004952713323545243,842.1365794353486,1.3630528240690147,1.2072437500001332,0.003850486210916036,-1.1827013888890523,-0.0005944040520423894,0.04160815972215965,0.040299479166666666,0.02128888888888873,True
exp073,exp027,distance_bucket,1000+,11151,11151.0,257385.9001487386,0.3078477352232115,0.9468185514303453,4.804359177919562,0.0052542541212827806,257385.5923010034,4.799104923798279,3.375490528455888,0.004199734529312881,2.934072319046364,-0.0012475380872022375,0.053851126020070576,0.053127942561205274,0.019092458075507586,True
exp073,exp027,distance_bucket,250-500,750,750.0,5360.730065188989,0.021757668915732803,0.019719956190289444,2.673507076279891,0.005386114111395809,5360.7083075200735,2.668120962168495,1.9874925000000851,0.004143154657778117,-1.9811430208334253,-0.0016521818297502856,0.037096718749977296,0.03510807291666666,0.008106666666673845,True
exp073,exp027,distance_bucket,500-1000,1500,1500.0,8084.551820128191,0.041763395180731425,0.029739793978123433,2.321573004111392,0.005276576868938891,8084.51005673301,2.3162964272424533,1.79535320312503,0.004125513201826834,-1.284582630208469,-0.0007321818298150902,0.05455328125000354,0.054401041666666664,0.007773333333332024,True
exp073,exp027,tail_length_bucket,2500-5000,8137,8137.0,59344.9933079512,0.23003096774940923,0.2183062108919227,2.700597644995682,0.005316930644147278,59344.763276983445,2.6952807143515347,2.1468787060648404,0.0036706869519804227,0.9025469018832474,-0.0012715330236672576,0.04190144341578522,0.04136363418100799,0.016100799016595578,True
exp073,exp027,tail_length_bucket,5000+,6014,6014.0,212497.90600988473,0.16020589975285532,0.7816937891080773,5.944230140822078,0.005161281433074795,212497.74580398496,5.939068859389003,4.173138159398854,0.004852759005107941,3.5437038316842577,-0.001054436063545139,0.0662102034134147,0.06507157668800931,0.019427906203224175,True
