model,feature,importance
lgb0,ll_multiobs_mae_likpf_mean,94.4
lgb0,tdpf15,90.2
lgb0,tda5,89.4
lgb0,tdbc-3,89.4
lgb0,tdbc5,88.6
lgb0,bw_EGFDU,87.0
lgb0,nsel_top1_is_tvt_dense,86.4
lgb0,ll_candidate_tvt_hyb_minus_likpf_mean_tvt,86.2
lgb0,nsel_top1_is_hmm_selfgr_boost_only_a070_c100_mean_tvt,85.8
lgb0,tdpf-15,85.0
lgb0,tda10,83.4
lgb0,nsel_top1_is_beam_mean,81.4
lgb0,tdbc-5,80.0
lgb0,tdpf-2,79.4
lgb0,grwr_raw_rolling_corr_w065,78.6
lgb0,bw50_ASTNU,78.0
lgb0,bw_mid_ANCC,76.4
lgb0,bw_early_EGFDL,75.4
lgb0,tdbc3,74.6
lgb0,ll_learned_prob_likpf_rank,74.2
lgb0,bww_ASTNL,73.6
lgb0,bww_EGFDU,73.2
lgb0,tdbc-10,71.0
lgb0,tda-10,69.4
lgb0,glead30,69.2
lgb0,grwr_dwt_detail_absmean_w065,67.8
lgb0,tdbc0,67.8
lgb0,bw_ASTNL,67.0
lgb0,gr_vs_slp_all,66.0
lgb0,tda-5,64.0
lgb0,tdpf8,62.8
lgb0,tdpf-8,61.0
lgb0,bw_early_BUDA,60.6
lgb0,tdpf-4,60.6
lgb0,grs51,59.6
lgb0,bw50_ANCC,59.0
lgb0,nsel_top1_is_sc_ens,58.8
lgb0,bw_mid_ASTNL,57.0
lgb0,sig_mean_d,55.6
lgb0,tdpf4,54.6
lgb0,dense_bias,52.0
lgb0,gr_nrg,52.0
lgb0,tdpf2,52.0
lgb0,bww_EGFDL,51.2
lgb0,grwr_raw_savgol_corr_w065,50.8
lgb0,grwr_raw_minus_dwt_absmean_w129,50.4
lgb0,bw_EGFDL,48.8
lgb0,sc_vs_beam,48.2
lgb0,gr_vs_tw_anc,47.8
lgb0,glag30,47.6
lgb0,bw_mid_EGFDU,46.8
lgb0,nsel_top1_is_tvt_densew,46.8
lgb0,grwr_raw_dwt_corr_w065,46.6
lgb0,bw_mid_EGFDL,46.2
lgb0,sig_std,44.4
lgb0,bw50_ASTNL,44.2
lgb0,grm21,41.8
lgb0,nsel_pred_error_hyb,41.6
lgb0,ll_learned_error_likpf_rank,40.8
lgb0,bw50_EGFDU,39.8
lgb0,grwr_dwt_approx_default_candidate_cost,39.0
lgb0,nsel_pred_error_sc_ens,38.6
lgb0,bw_BUDA,38.4
lgb0,hyb_d,38.0
lgb0,grwr_dwt_detail_energy_ratio_w033,37.8
lgb0,grwr_raw_std_w033,37.4
lgb0,grwr_dwt_energy_ratio_w065_x_candidate_std,36.0
lgb0,ll_learned_prob_top1_index,36.0
lgb0,nsel_top1_is_pf_ancc,35.4
lgb0,bww_BUDA,35.0
lgb0,ll_learned_prob_hyb,35.0
lgb0,bw50_EGFDL,33.2
lgb0,grwr_fft_rotation_ratio_x_candidate_range,33.2
lgb0,bw_mid_BUDA,32.8
lgb0,ll_learned_error_top1_index,32.2
lgb0,grwr_savgol_31_p2_default_candidate_cost,31.0
lgb0,nsel_top1_is_tvt_dense50,30.8
lgb0,grwr_raw_minus_savgol_absmean_w033,30.6
