well,suffix_rows,posterior_mean_rmse_ft,persistent_episodes,persistent_rows,persistent_row_fraction,has_persistent_episode,top1_joint_path_log_probability,top5_joint_path_log_mass,top1_joint_path_log10_probability,top5_joint_path_log10_mass,top1_surprisal_nats_per_row,top5_surprisal_nats_per_row,top5_vs_top1_log_mass_gain
9bd2bba3,7439,1.1939395126724794,0,0,0.0,False,-1781.9676737033906,-1780.3583822681787,-773.8987276193568,-773.1998212292701,0.2395439808715406,0.239327649182441,1.6092914352118441
9c211c53,7265,2.3562620549455535,0,0,0.0,False,-1637.1240112108817,-1635.5147197786503,-710.9939242602032,-710.2950178714109,0.22534397951973595,0.22512246659031662,1.60929143223143
9c350a6a,6052,26.11142253705095,1,4394,0.7260409781890285,True,-1370.1462335727622,-1368.5370153797378,-595.0469486411746,-594.3480740597657,0.22639561030614047,0.22612971172831095,1.6092181930243896
9c8375f7,3674,1.6811484218019677,0,0,0.0,False,-835.8899063666204,-834.2824817336198,-363.02237381364904,-362.3242781654615,0.2275149445744748,0.2270774310652204,1.607424633000619
9d072e4c,5107,3.703218754763585,0,0,0.0,False,-1157.1722476622124,-1155.5663715515732,-502.5535217712819,-501.85609863781104,0.22658551941692037,0.22627107334082106,1.6058761106392012
9d3ec64c,3480,8.763156485090377,2,1143,0.328448275862069,True,-747.0856547674084,-745.4786076464738,-324.4551773745633,-323.75724567778286,0.21467978585270356,0.21421799070300973,1.607047120934567
9d4272e3,4030,14.34217532496121,2,2524,0.6263027295285359,True,-842.0025289664908,-841.0542125119699,-365.67705207872984,-365.2652034754334,0.20893363001649895,0.20869831575979403,0.9483164545208638
9d5e14d4,5400,4.069209325606454,0,0,0.0,False,-1184.8714660442454,-1183.2630287853292,-514.5831394676319,-513.8846040415971,0.21942064186004545,0.2191227831083943,1.608437258916183
9da441ba,5783,10.530412105822284,2,2671,0.4618710012104444,True,-1072.9137452345612,-1071.3045758637013,-465.96051911352123,-465.26166573530907,0.18552892015122968,0.18525066157075934,1.609169370859945
9dede370,6297,10.876224251456138,4,2265,0.35969509290138163,True,-1350.241636618912,-1348.6333459152647,-586.4024920196092,-585.7040202417188,0.21442617700792632,0.2141707711474138,1.6082907036472989
9def2eb2,6003,15.136336853960682,2,3144,0.5237381309345327,True,-1380.5676968475163,-1378.9601133921515,-599.5729326347576,-598.8747680108937,0.2299796263280887,0.2297118296505333,1.6075834553648747
9df1b1f9,4701,18.834004108372884,1,3870,0.8232291001914487,True,-1004.029483564324,-1002.4302059213182,-436.04446438015754,-435.3499069247689,0.2135778522791585,0.21323765282308407,1.5992776430057347
