name,rows,rmse,mae,bias_pred_minus_true,error_std,within_5,within_10,within_25,stage,well_id,fold
final_post_u,4544,5.583204541699106,4.528492927339869,-4.496454969619004,3.3096926837152254,0.6747359154929577,0.9025088028169014,1.0,final_post_u,ee0300f7,3
geometry_tvt_geop,3899,2.9152747938596457,2.3637371518091568,1.52766625255089,2.4829544789485207,0.9235701461913312,1.0,1.0,geometry_tvt_geop,eeed308d,3
geometry_plus_gr_pre_u,3899,2.6698305769325854,2.0642963376715455,1.9235024745432785,1.851521952327346,0.9810207745575789,1.0,1.0,geometry_plus_gr_pre_u,eeed308d,3
final_post_u,3899,2.614925420426498,2.039976875372652,1.9342167903636787,1.7597273545262424,0.9705052577583996,1.0,1.0,final_post_u,eeed308d,3
geometry_tvt_geop,4012,17.410280161365467,16.745493381392897,16.745457429073742,4.765239845833052,0.04386839481555334,0.07926221335992024,1.0,geometry_tvt_geop,efe96181,3
geometry_plus_gr_pre_u,4012,13.692953299137498,13.128534855896119,13.128522129422194,3.890870950010063,0.04287138584247258,0.13758723828514458,1.0,geometry_plus_gr_pre_u,efe96181,3
final_post_u,4012,13.595654598440147,13.075032429567294,13.075032429567294,3.726305264716016,0.043369890329012964,0.15229312063808575,1.0,final_post_u,efe96181,3
geometry_tvt_geop,3900,17.063344818372933,11.254905053008835,-11.254895113896902,12.825173385411757,0.5674358974358974,0.6089743589743589,0.7548717948717949,geometry_tvt_geop,f08774c3,3
geometry_plus_gr_pre_u,3900,14.678953966560131,9.823651145046727,-8.036408586897121,12.28364060760643,0.602051282051282,0.6333333333333333,0.8615384615384616,geometry_plus_gr_pre_u,f08774c3,3
final_post_u,3900,14.356347235054049,9.65311247030951,-7.899678695415138,11.987484408442343,0.5984615384615385,0.6384615384615384,0.8451282051282051,final_post_u,f08774c3,3
geometry_tvt_geop,4651,7.162588614737584,6.293483480095561,6.283718451090926,3.437667536482828,0.405719200172006,0.8845409589335627,1.0,geometry_tvt_geop,f16e25e3,3
geometry_plus_gr_pre_u,4651,9.115881264212383,8.059790243031385,8.059790243031385,4.258998997599607,0.2876800688024081,0.719630187056547,1.0,geometry_plus_gr_pre_u,f16e25e3,3
final_post_u,4651,9.140210642611308,8.143977976491428,8.139057235152649,4.1592304473561335,0.25241883465921305,0.74650612771447,1.0,final_post_u,f16e25e3,3
geometry_tvt_geop,5141,7.0848951717433755,6.082594043255259,-0.10776488148538577,7.08407554483371,0.43571289632367244,0.8494456331453025,1.0,geometry_tvt_geop,f321a31c,3
geometry_plus_gr_pre_u,5141,7.867091783062549,6.226209294801064,-3.539361392943729,7.025955739489803,0.5107955650651624,0.705893794981521,1.0,geometry_plus_gr_pre_u,f321a31c,3
final_post_u,5141,6.774230658284642,6.018719328674682,-3.461866791741418,5.82285834688442,0.4005057381832328,0.828438047072554,1.0,final_post_u,f321a31c,3
geometry_tvt_geop,5432,11.796468574297988,10.898949038908956,-10.897648972958253,4.516405394401828,0.15427098674521356,0.26343888070692195,1.0,geometry_tvt_geop,f56d3ace,3
geometry_plus_gr_pre_u,5432,11.488797330866607,10.26388445536994,-10.260324670420175,5.168965251120848,0.15703240058910162,0.41458026509572904,1.0,geometry_plus_gr_pre_u,f56d3ace,3
final_post_u,5432,11.494524395640942,10.216232553070306,-10.216144679693512,5.268251983870431,0.15905743740795286,0.42010309278350516,1.0,final_post_u,f56d3ace,3
geometry_tvt_geop,5015,2.6525227776621385,2.0556921806246287,1.7353352283718784,2.006112841090448,0.9491525423728814,1.0,1.0,geometry_tvt_geop,f6824bb0,3
geometry_plus_gr_pre_u,5015,1.5102462584674188,1.1671588646816795,-0.1769082868412384,1.4998490654935035,1.0,1.0,1.0,geometry_plus_gr_pre_u,f6824bb0,3
final_post_u,5015,1.7308069160602695,1.2855772575615465,-0.16088538142259678,1.7233132259477864,0.9790628115653041,1.0,1.0,final_post_u,f6824bb0,3
geometry_tvt_geop,5686,8.158496265439101,6.928781011531777,6.919807321688558,4.321727425913068,0.31709461836088637,0.7618712627506156,1.0,geometry_tvt_geop,fa16d114,3
geometry_plus_gr_pre_u,5686,5.2171073189351835,4.341756341692654,4.341756341692654,2.8926390453457347,0.6176574041505452,0.9549771368272951,1.0,geometry_plus_gr_pre_u,fa16d114,3
final_post_u,5686,5.35197042263861,4.496402702966542,4.496339668591478,2.902846359945559,0.572986282096377,0.9474147027787548,1.0,final_post_u,fa16d114,3
geometry_tvt_geop,5027,3.1579261169640236,2.6867166935670204,1.1191033102208907,2.95298241465406,0.8991446190570918,1.0,1.0,geometry_tvt_geop,fa31da94,3
