well_id,fold,start_suffix_offset,end_suffix_offset_exclusive,rows,signed_error_median,abs_error_mean,abs_error_max,episode_sse,geometry_episode_rmse,pre_u_episode_rmse,final_episode_rmse,crossing_component,onset_error,onset_geometry_error,onset_gr_delta,onset_u_adjust,onset_one_row_error_change,pre_onset_64row_error_rate,distance_to_k16_boundary_rows,gr_cap_fraction,u_worsens_episode_sse,gr_worsens_episode_sse
5b7b6324,0,3083,6564,3481,-24.38388545312773,22.405374048647726,32.27925645701362,1841460.2382618054,19.596024825063214,23.0909194336195,23.00007018375941,gr_crossed_threshold,-10.02560017099313,-6.76389606376506,-3.7794983089864753,0.517794201758079,-0.04339835674909409,-0.038870599660754124,199,0.5239873599540362,False,True
5beded95,0,454,3057,2603,16.14413005841925,16.100152820050383,19.93635951914985,693667.802288714,15.393799771009046,16.208534409859748,16.324454741993726,u_projection_crossed_threshold,10.005881109260372,7.918077159954919,1.084100851271594,1.003703098034748,0.05630525411288545,0.03070049687673304,72,0.0,True,True
61f27424,0,3244,6220,2976,13.455389930157253,13.290784118655369,16.151229845250782,536401.5887885063,17.45470182486298,13.491378594351668,13.425441123142903,geometry_already_over_threshold,10.005244437152214,13.436412929480866,-4.0,0.5688315076713479,0.005634441506117582,0.005923324414794734,134,1.0,False,False
6d6d93af,0,822,2403,1581,17.009480667187745,16.29276153275794,21.120783216339987,437947.27492458024,17.97885259450107,16.89258093786312,16.643512219586633,geometry_already_over_threshold,10.032342730439268,11.504890356101896,-2.0929062378508507,0.6203586121882836,0.08047819471903672,0.020042324780320087,76,0.006957621758380772,False,False
722cf0d8,0,1162,1623,461,10.694100684200748,10.682171024743244,11.195811931776916,52678.74776934243,10.744362252483487,11.234749265369212,10.689742865781877,gr_crossed_threshold,10.00011927153173,9.99633047980933,0.4059289619083473,-0.4021401701866125,0.011356313352735015,0.003635630576127341,123,0.0,False,True
729f4217,0,5904,6195,291,-13.038221209160838,13.11121286434455,16.457363186435032,51045.45962497008,13.058627301720751,12.313868791978122,13.244393176030066,geometry_already_over_threshold,-10.014601664226577,-10.606120862523312,0.7506184277933386,-0.15909922949867905,-0.0221086726833164,-0.01991996661502074,97,0.0,True,False
75cd5f11,0,466,971,505,-11.122829604992148,11.037596110192943,11.847777505518025,61661.1590485804,12.589734551304,10.379681233646078,11.049945929582364,geometry_already_over_threshold,-10.005339380863006,-11.128832088455965,1.598272991150258,-0.47478028355726565,-0.014440294546147925,-0.02353040452575783,152,0.0,True,False
811f52b3,0,2234,2450,216,10.290189238631683,10.278012590657555,10.52278934320566,22822.598239295035,5.850880373684808,9.41413453135805,10.279113630745275,u_projection_crossed_threshold,10.000875132449435,5.7695466423356265,3.987819937115901,0.2435085529978096,0.014679165737105038,0.008961737523463825,119,0.19444444444444445,True,True
8a89da23,0,3759,3935,176,-10.949965399626308,11.079929905763947,12.20064139603528,21636.142602171465,15.952864785076208,11.959598143884728,11.08749874504745,geometry_already_over_threshold,-10.030454552146692,-14.190068444342614,4.0,0.15961389219592093,-0.046073275123488244,-0.03724198904612305,70,1.0,False,False
8a9c8932,0,1909,3914,2005,-12.108263189305944,12.71442102563414,18.71265249872158,332233.422627453,8.670799409294531,12.485404989040429,12.872546569183077,gr_crossed_threshold,-10.00584273226923,-6.5402019911107345,-4.0,0.5343592588415049,-0.030947855548220105,-0.03985215139513798,131,0.571072319201995,True,True
8cc21f01,0,1158,1528,370,11.177732089796336,11.178542812912895,12.376991621009438,46413.06239122311,8.969888071863014,10.896917907776784,11.200031659127927,u_projection_crossed_threshold,10.003885880443704,8.040122484231688,1.7090621987235983,0.2547011974875204,0.03704327495688631,0.04913827162067719,105,0.0,True,True
8cc800b3,0,3559,4373,814,11.854475848534094,11.832621964278879,13.018328982328969,114398.51664445677,10.358483067733676,11.26690607440296,11.854902708855665,gr_crossed_threshold,10.012904966573842,8.749031130479125,2.3157837694638146,-1.0519099333705526,0.028077038981791702,0.012251714247383916,140,0.0,True,True
8cc800b3,0,6382,6576,194,11.8480148879853,11.95351876062641,14.13709772279799,27996.933579374556,11.372736533515974,12.037142864636596,12.01307998039357,gr_crossed_threshold,10.004554263423415,9.612854740455077,0.6669670319623774,-0.27526750899414765,0.022855549374071416,0.019380863626793143,217,0.0,False,True
8f201368,0,650,2973,2323,-15.837673223330055,14.919019460310551,18.08275388871334,531726.6590165936,14.611164874399018,15.275606155697353,15.129327101193528,gr_crossed_threshold,-10.039513869360237,-8.559989611037963,-2.404261685355588,0.9247374270325963,-0.04095855718333219,-0.02107396952939669,143,0.0,False,True
