outcome,driver,spearman,abs_spearman,wells
u_rmse_delta,u_adjust_abs_mean,-0.2467596510560118,0.2467596510560118,773
u_rmse_delta,suffix_tvt_range,-0.24207401894395877,0.24207401894395877,773
u_rmse_delta,donor_dist_max,-0.15484950849829252,0.15484950849829252,773
u_rmse_delta,delta_abs_max,-0.11679074602583445,0.11679074602583445,773
u_rmse_delta,prefix_gr_missing_fraction,-0.10127615306312905,0.10127615306312905,773
u_rmse_delta,donor_dist_min,-0.09896166117480763,0.09896166117480763,773
u_rmse_delta,suffix_gr_missing_fraction,-0.07387489496830435,0.07387489496830435,773
u_rmse_delta,end_minus_anchor,-0.06164053078502318,0.06164053078502318,773
u_rmse_delta,gr_cap_fraction_rows,-0.05956145850627242,0.05956145850627242,773
u_rmse_delta,delta_abs_median,-0.047692813201738564,0.047692813201738564,773
u_rmse_delta,suffix_z_range,-0.04053693744687575,0.04053693744687575,773
u_rmse_delta,suffix_u_true_range,-0.0375515965549161,0.0375515965549161,773
u_rmse_delta,whole_xy_path_length,0.03114822720319229,0.03114822720319229,773
u_rmse_delta,suffix_u_true_end_minus_start,-0.02887969642325534,0.02887969642325534,773
u_rmse_delta,suffix_xy_displacement,0.02584614978523938,0.02584614978523938,773
u_rmse_delta,unknown_rows,0.025362320087824807,0.025362320087824807,773
u_rmse_delta,true_tvt_end_minus_anchor,-0.022295224747939033,0.022295224747939033,773
u_rmse_delta,gate_segments,-0.018047363208647714,0.018047363208647714,773
u_rmse_delta,known_prefix_rows,-0.00782355346228316,0.00782355346228316,773
