well_id,fold,k16_segment,rows,error_sum,error_sq_sum,x_sum,x_sq_sum,x_error_sum,start_error,end_error,mean_error,mean_corrected_sse,start_corrected_sse,affine_corrected_sse,error_slope_per_row
2fa01aa6,3,2,136.0,-160.71670872801224,190.1233592954124,46036.0,15792796.0,-54595.23395133608,-1.0800645750696276,-1.276435253163072,-1.1817405053530312,0.1979147044953038,1.6038819971587088,0.020892785435983385,-0.0009189830967221691
2fa01aa6,3,3,136.0,-191.9339012638684,272.9008013698399,64532.0,30830044.0,-91608.91679556319,-1.2691021566042764,-1.8166098834080917,-1.4112786857637383,2.0285774406606265,4.777703941021684,0.6565201384255939,-0.0025584688032901
2fa01aa6,3,4,136.0,-336.3857059490456,845.3058110754306,83028.0,50898204.0,-205957.2240420616,-1.8394782635932645,-2.090348183290189,-2.4734243084488647,13.281228966329422,67.93794090550529,11.599344859171831,-0.0028326442448797944
2fa01aa6,3,5,136.0,-147.2590759167615,194.50709472752948,101524.0,75997276.0,-107250.34991806425,-2.0645409389198903,-0.3576456239188701,-1.082787322917364,35.056834140334416,166.13909624496324,0.8283552408427113,0.012778733141540051
2fa01aa6,3,6,136.0,6.493107161379158,3.880344333844718,120020.0,106127260.0,6491.311139335876,-0.3485921144729218,0.155216344694054,0.04774343501014087,3.570341094071532,24.93347511270114,0.8064448371593462,0.003631239298787122
2fa01aa6,3,7,136.0,62.32566182547089,57.26779564751632,138516.0,141288156.0,65632.19853456979,0.1543444230355817,1.507013591892246,0.45827692518728597,28.70538298587692,41.268378343407534,6.580418600544444,0.010273898980619686
2fa01aa6,3,8,135.0,400.41178801954993,1284.927599308363,155790.0,179986680.0,466541.2166675716,1.537076885217175,4.44201522991898,2.966013244589259,97.3009327527111,372.95191383600957,0.016400837039768135,0.021783305497078322
2fa01aa6,3,9,136.0,767.8711964176182,4375.024975365779,175372.0,226351804.0,992575.8318671808,4.464298245653481,5.803908145957394,5.64611173836484,39.53839972001151,229.48730561143975,11.922967675829536,0.011478097832460883
2fa01aa6,3,10,136.0,765.3332011534803,4308.055232899074,193868.0,276568444.0,1091195.0445955184,5.797077011606234,5.752016234007897,5.627450008481473,1.1809035767682872,5.094075122484355,0.9653391777599548,0.0010141040562574252
2fa01aa6,3,11,136.0,816.9195621268573,4919.996632582572,212364.0,331815996.0,1277107.1386921927,5.741578146489701,6.712863076269059,6.006761486226892,12.955669453628616,22.5194891533165,2.4032623696180675,0.007095283770359785
2fa01aa6,3,12,136.0,1067.7712494870284,8468.85324342022,230860.0,392094460.0,1816693.281960879,6.730029863150776,9.514376298177012,7.8512591874046205,85.50441083867736,256.4775177077545,3.2771031938190305,0.019806239953476575
2fa01aa6,3,13,136.0,1583.3757871771304,18635.22844151966,249356.0,457403836.0,2909607.328829901,9.541003803324202,13.695570763235082,11.642469023361253,200.8248869696763,801.4221126291304,0.014583040682936144,0.030951877489776562
2fa01aa6,3,14,136.0,2161.368117842736,34592.74239298225,267852.0,527744124.0,4263950.877967403,13.729540378675663,18.264830291102044,15.892412631196589,243.38841631275136,879.5986440913439,0.42398232100913447,0.034045941873646964
2fa01aa6,3,15,136.0,2726.4466734503003,54743.168264675645,286348.0,603115324.0,5744663.265747935,18.29950889121756,21.180628634601817,20.047402010663973,84.99574137999298,500.4934699330988,3.629370136761338,0.019702279463420687
357c12f9,3,0,254.0,-135.57708859865852,94.01693029242624,32131.0,5430139.0,-11970.962201436903,-1.1746429823488145,-0.2206142155282577,-0.5337680653490493,21.650210005463634,125.97325745228545,2.0044367300641674,0.003792957511286259
357c12f9,3,1,255.0,239.40587862360553,337.56595458906213,97155.0,38397815.0,103473.42957297407,-0.2170466796123946,1.7172341223977128,0.9388465828376688,112.8005635320404,453.5033182472904,4.024476247459106,0.008872589897942013
357c12f9,3,2,255.0,472.3233845204795,875.7250155589072,162180.0,104528240.0,301406.6368469829,1.716656802285797,1.905182429605702,1.8522485667469786,0.8647035397669924,5.552910820139687,0.1279555209749318,0.0007302022724336393
357c12f9,3,3,255.0,447.3575757136059,789.5083408884973,227205.0,203821415.0,396129.8533737571,1.903196405744893,1.4918911361164646,1.7543434341710036,4.689515208675061,10.339603031001275,0.28939779926504894,-0.0017844970089347983
357c12f9,3,4,255.0,334.09465337477013,443.0073115007934,292230.0,336277340.0,380305.9380926336,1.4880066798978078,0.9900656300596892,1.3101751112736084,5.284811839586325,13.348948873418863,0.5176306813369616,-0.0018574388279100351
357c12f9,3,5,255.0,191.86577678642425,146.64436069594228,357255.0,501896015.0,267715.1528617366,0.9845638102087833,0.9113122336730156,0.7524148109271539,2.281708531793356,16.024463787996154,1.423754657041504,-0.0007879808476463242
357c12f9,3,6,255.0,439.23336342625043,793.6333415129955,422280.0,700677440.0,734142.3311867637,0.9164906554924528,2.0940388128383347,1.7224837781421585,37.060998192459806,202.71535120090883,3.872617389961981,0.0049009099647500005
357c12f9,3,7,255.0,508.5180177453294,1022.7040195927581,487305.0,932621615.0,968756.3640444938,2.0902271698287223,1.7290556146435847,1.9941883048836448,8.62333578240839,10.975318995293037,2.0159130940514736,-0.0021867530300708786
357c12f9,3,8,255.0,239.6545476362844,399.78964889180077,552330.0,1197728540.0,504216.6096718082,1.725905894783864,-0.7148108951842005,0.9398217554364094,174.55709123394934,332.1288011380245,14.42088440775612,-0.010765357593492215
357c12f9,3,9,255.0,-473.0099085088859,945.432631337786,617355.0,1495998215.0,-1154664.8362984634,-0.7345335257668921,-2.5506747859180905,-1.8549408176819056,68.02724487666978,388.131932319635,2.6040384164290487,-0.0068809690528388555
357c12f9,3,10,255.0,-870.1351236649953,3064.760165375751,682380.0,1827430640.0,-2339904.7316952636,-2.550705053716229,-4.412209970756521,-3.4122946026078247,95.60277935419572,284.8985997977975,1.166592896691924,-0.008267094696428005
357c12f9,3,11,255.0,-1167.5678242863069,5355.132124781743,747405.0,2192025815.0,-3420841.4245875296,-4.419914391255588,-3.7952043899622367,-4.57869735014238,9.192421610526253,15.62148875890216,7.969591418616703,0.0009407338435298881
357c12f9,3,12,255.0,-369.3551862930799,749.9075574643978,812430.0,2589783740.0,-1161456.0766252805,-3.7569071034231456,-0.6871929594144603,-1.4484517109532544,214.91440592872823,1573.8008121796745,45.288547298990636,0.01107974388061019
357c12f9,3,13,255.0,-144.7928529503697,84.46995181292381,877455.0,3020704415.0,-496632.59300938086,-0.6873416143025679,-0.2924859390896017,-0.5678151096092929,2.254382144267396,5.897461401936212,0.4025663976154521,0.0011576641333092088
357c12f9,3,14,255.0,-37.47198924720214,6.308074170250986,942480.0,3484787840.0,-137901.25573720806,-0.2980795976018271,-0.1742096930829575,-0.1469489774400084,0.8016036677316425,6.625922077108104,0.5452040714067805,0.0004307669352499988
357c12f9,3,15,255.0,122.14211923831317,83.6780159921318,1007505.0,3982034015.0,488274.61014441546,-0.1730592082894873,0.8515051827926072,0.4789887028953458,25.173320729283517,133.59077274181203,1.7332258874991098,0.004118730484194172
35b30c7f,3,0,598.0,627.6742555423007,1339.8547279729469,178503.0,71103695.0,261469.64219850878,1.8597496760739889,2.4088238183576323,1.0496225009068574,681.0337061157875,1073.5047180024649,372.84311759240563,0.004158619066102985
35b30c7f,3,1,599.0,947.8644962844883,2034.428768504295,537303.0,499870891.0,761629.7640532545,2.406125045163208,-0.685542260423972,1.5824115129958067,534.5170768237497,940.940962686092,96.17273854666297,-0.004947191200156979
35b30c7f,3,2,599.0,1344.9816409819468,3561.9224178950417,896104.0,1358481684.0,2078710.986111397,-0.6868028627977765,2.3635259497714287,2.24537836557921,541.9297391329537,5691.944106004732,294.1355871959381,0.0037196024144144618
35b30c7f,3,3,598.0,1557.3727401143606,4445.376744920952,1252511.0,2641204839.0,3331738.6151283076,2.366537922152929,3.7166426518015214,2.604302240993914,389.50742777828964,423.3134868240136,115.94518839421369,0.003918027946263919
35b30c7f,3,4,599.0,2611.9451846722623,11705.894324554825,1613107.0,4362007251.0,7106445.76096969,3.7115061922741006,5.6492414517269935,4.360509490270888,316.48255872407753,568.7845219296905,23.18601567951589,0.004046732215190776
35b30c7f,3,5,599.0,4202.304047555723,29732.95810121094,1971908.0,6509431236.0,13867796.134685632,5.65339222426519,8.14253234343596,7.015532633648953,251.55691906868378,1362.957389499512,187.72712858156765,0.0018878292210648081
35b30c7f,3,6,598.0,5378.104266515522,48464.02806772708,2326519.0,9069142719.0,20937507.34189611,8.145129860011366,8.921133920295688,8.993485395510906,96.12589128483523,526.5107458232378,85.13883065120001,0.0007851998625222854
35b30c7f,3,7,599.0,5657.469775503958,53720.942284035016,2688911.0,12088431579.0,25456355.867459252,8.914476106503571,11.060267553020822,9.444857722043336,286.9451876396852,455.4466778431233,86.11514759029248,0.0033486158771857434
35b30c7f,3,8,599.0,7225.587647050255,87416.86941751142,3047712.0,15524668756.0,36824207.90777879,11.067292265006472,11.58173880060167,12.062750662855183,256.40723853772215,849.9787542243866,52.59319837780643,0.0033734015771602153
35b30c7f,3,9,598.0,5580.569415925656,52527.57496478637,3400527.0,19354917335.0,31652265.0382397,11.54578383390799,8.402924167787205,9.332055879474341,449.38933608265506,3379.943026914756,75.3508959601973,-0.004581393262959875
35b30c7f,3,10,599.0,4419.764589518465,32781.29958428313,3764715.0,23679143875.0,27723689.505598433,8.399256516930109,6.494423710752017,7.378571935757037,169.7486214094606,793.785032941887,3.718093076715917,-0.003044703241473803
35b30c7f,3,11,599.0,3298.2233267443025,18622.42858105201,4123516.0,28404194244.0,22698963.274102427,6.48863711429658,7.553829108386708,5.506215904414528,461.69884302153514,1039.8245517635733,459.6847100037295,-0.000335347496962813
35b30c7f,3,12,598.0,5408.335015087034,50353.180526964046,4474535.0,33498528687.0,40625952.24104368,7.540199248407589,11.678968392508978,9.044038486767615,1439.990501184002,2792.386909173096,37.619471288589466,0.008870966108814592
35b30c7f,3,13,599.0,8146.874925280279,111565.24539764108,4840519.0,39134144139.0,65945108.33332852,11.68575018404772,14.675207124597364,13.600792863573087,761.2870534665271,2958.052743644337,83.08321089502749,0.006153626285648167
