well_id,fold,oof_rows,final_rmse_recomputed,final_mae_recomputed,final_bias_recomputed,final_abs_bias,final_first_error,final_end_error,final_error_slope_per_row,geometry_rmse,pre_u_rmse,gr_rmse_delta,u_rmse_delta,gr_cap_fraction_rows,u_adjust_abs_mean,well_affine_intercept,unknown_rows,last_known_row,anchor,gate_segments,donor_dist_min,donor_dist_max,delta_abs_median,delta_abs_max,end_minus_anchor,within10,within25,known_prefix_rows,raw_suffix_rows,suffix_gr_missing_fraction,prefix_gr_missing_fraction,suffix_z_range,suffix_tvt_range,suffix_u_true_range,suffix_u_true_end_minus_start,true_tvt_end_minus_anchor,true_first_suffix_minus_anchor,z_first_suffix_minus_anchor,whole_xy_path_length,suffix_xy_displacement,persistent_episode_count,persistent_episode_rows,persistent_episode_sse
23b9beb0,0,7340,3.293535788927798,2.8734594751076,-0.009683558469991934,0.009683558469991934,2.2764083724359807,6.79000609177092,0.0009471197226689931,3.7972626284130513,2.6600159505901853,-1.137246677822866,0.6335198383376128,0.06893732970027248,1.4691531180759383,-3.48513938080386,7340,1449,11391.0,0,1410.0793103321466,2172.481004756008,0.9909774670475228,4.0,7.875850789289073,1.0,1.0,1450,7340,0.2271117166212534,0.13034482758620689,234.39999999999964,18.19000000000233,228.8700000000008,-228.8700000000008,5.520000000000437,-0.00999999999839929,-0.020000000000436557,8489.957616415722,7315.825335749782,0.0,0.0,0.0
25050f63,0,6124,3.347909815641104,2.5734449530255246,0.7116234764911259,0.7116234764911259,-2.4151121333852643,1.6869569705741014,0.000314440253514529,3.89544377571079,3.991371504772112,0.09592772906132208,-0.6434616891310081,0.14761593729588504,0.9492087891262704,-0.25103535964360485,6124,1030,10929.05,0,1611.7468100323783,2207.2931192415954,2.1794226508831622,4.0,42.51603653627316,1.0,1.0,1031,6124,0.04996734160679295,0.020368574199806012,146.35999999999876,48.36000000000058,172.23999999999978,172.23999999999978,39.100000000000364,0.18000000000029104,-0.13999999999941792,6855.445700941045,6114.901952345533,0.0,0.0,0.0
28f4eda9,0,5266,9.42326059065475,6.470825103697016,-4.839712174148087,4.839712174148087,0.8646690213954571,-14.415664339576324,-0.004581599842863021,9.20994208367064,9.432037019866074,0.2220949361954343,-0.008776429211323489,0.0,0.5572678804124853,7.221349412188814,5266,1557,10928.38,0,1316.2630747877506,2231.6262687220938,0.621952590878263,3.475385163263353,1.2766369859558089,0.7050892518040258,1.0,1558,5266,0.23129510064565134,0.18613607188703465,96.09000000000015,22.8700000000008,113.17000000000007,113.17000000000007,17.070000000001528,-0.00999999999839929,0.020000000000436557,6674.783723373703,5262.450240115964,1.0,1553.0,426018.81936892436
29de15c8,0,3431,3.423911744714321,2.8129110669117234,2.784639530132078,2.784639530132078,-0.7428313402069762,0.4291990598831035,0.0012344664575969237,3.718115649840665,3.1600467803149326,-0.5580688695257323,0.2638649643993882,0.0,0.46206976665025684,0.6675295553533533,3431,1732,11990.59,0,716.6736871304757,935.9559260183528,0.5511446326516747,1.6919621974866468,2.4636042305378183,1.0,1.0,1733,3431,0.03993004954823667,0.04385458742065782,91.11000000000058,9.640000000001237,91.06000000000131,91.06000000000131,1.4000000000014552,-0.019999999998617568,0.039999999999054126,4725.711695470574,3426.6060768783086,0.0,0.0,0.0
2ac7cb6b,0,4990,8.811445651463936,6.9899209515066625,0.4781242551835342,0.4781242551835342,0.3841373315899545,20.28167008332457,0.0017123372617509542,11.358489638394271,8.91051283820169,-2.4479768001925812,-0.09906718673775394,0.5326653306613226,0.7117996181783106,-3.7933010442542177,4990,1460,10880.73,0,1106.0686253797958,1398.0974690626726,4.0,4.0,-22.657219691697467,0.7280561122244489,1.0,1461,4990,0.039679358717434866,0.04791238877481177,262.7000000000007,65.81999999999971,216.0600000000013,216.0600000000013,-46.63999999999942,0.0,0.030000000000654836,6196.464243842909,4974.995331425024,2.0,1357.0,298055.5828807719
2b06ad65,0,4256,1.3322233275477526,1.03583760999957,0.00016373942272371677,0.00016373942272371677,-0.5093262215686991,1.3716823784434382,-9.508331434796383e-05,2.2338134081784697,0.9504710573079419,-1.283342350870528,0.38175227023981073,0.0,0.5140379253078202,0.20245349069801635,4256,1449,11952.52,0,439.39124436537577,644.4433809110153,1.9000981191928343,2.7027403120247264,2.028197563874767,1.0,1.0,1450,4256,0.03923872180451128,0.046206896551724136,127.23999999999978,7.219999999999345,126.63999999999942,126.63999999999942,-0.6100000000005821,-0.010000000000218279,0.030000000000654836,5462.236724487322,4251.877511135552,0.0,0.0,0.0
2d0c268a,0,4550,5.604842169041664,4.331263714509478,-2.0383547088436256,2.0383547088436256,-7.1091548323165625,3.901056276892632,-0.0016852617932972427,6.011823751099737,6.141043127932667,0.12921937683293017,-0.536200958891003,0.5327472527472528,1.9448791444135274,1.7947732400109537,4550,1738,11325.79,0,2408.144914560443,3535.026719913222,4.0,4.0,-15.73557570277728,0.8558241758241758,1.0,1739,4550,0.28285714285714286,0.2024151811385854,170.17000000000007,27.19999999999891,154.52999999999884,154.52999999999884,-15.650000000001455,-0.010000000000218279,0.040000000000873115,5753.333356941188,4544.0168266082965,1.0,656.0,79144.30606697212
2e43c2ea,0,5698,1.9280895480771678,1.5712949907958784,1.0282954823471915,1.0282954823471915,-0.8733059826463432,0.0776981215803971,-0.0003885953331759761,2.850492601636008,1.7215236832082728,-1.1289689184277354,0.20656586486889505,0.10705510705510705,0.5982248472820414,2.1352092888989596,5698,1650,11181.61,0,756.965417572282,1085.250823646329,1.0222827631523892,4.0,10.003327851330983,1.0,1.0,1651,5698,0.3508248508248508,0.2774076317383404,187.11000000000058,21.889999999999418,193.95000000000073,193.95000000000073,6.809999999999491,-0.030000000000654836,0.05999999999949068,6805.1688129625345,5690.718776437634,0.0,0.0,0.0
2f19d536,0,3088,4.625471652476839,4.232534568642098,-4.176688993596424,4.176688993596424,-0.3014212215584848,-5.926628977773362,-0.0013328765180571503,5.259461765569383,4.496733338082628,-0.7627284274867545,0.12873831439421046,0.0,0.4219516249078992,-2.119394087975214,3088,1655,12279.03,0,2293.2321623476137,3375.261329808464,0.5548179213586903,2.2528908331467665,-14.60032133918354,1.0,1.0,1656,3088,0.37338082901554404,0.1817632850241546,104.98000000000138,12.290000000000873,97.11000000000058,97.11000000000058,-7.890000000001237,-0.020000000000436557,0.049999999999272404,4545.3511241537235,3084.948827468659,0.0,0.0,0.0
2f8e53c3,0,2594,1.0445189271487747,0.8946411410100547,0.7315576154648071,0.7315576154648071,0.1443309354563098,2.1966017592858407,0.0005918377781365952,1.227539469705284,1.0949196598879989,-0.13261980981728505,-0.050400732739224186,0.0,0.2811967418988868,-0.035760063889288145,2594,1538,11952.89,0,194.4662407720459,408.9628152106607,1.3340203101925532,3.3475985175501983,-7.186489168902215,1.0,1.0,1539,2594,0.42058596761757905,0.2365172189733593,62.54000000000087,11.200000000000728,70.42000000000007,-70.42000000000007,-7.889999999999418,-0.010000000000218279,-0.020000000000436557,3828.7713961900145,2591.364204738467,0.0,0.0,0.0
