episode_id,well,decoder_rows,posterior_mean_error_recomputed_ft,marginal_map_mean_error_ft,viterbi_mean_error_ft
3bfee975:000,3bfee975,1047,-17.001223495702167,-20.05808022913266,-9.08773638958143
ecdaf714:000,ecdaf714,981,-17.017843527013405,-16.93038735973215,-19.66331294587148
656a067b:000,656a067b,357,-16.78217787114862,-15.611092436887004,1.6869467788171433
1bcb2fcf:000,1bcb2fcf,590,-16.065937288135746,-11.616220338887809,-5.453847457527701
febb4411:001,febb4411,999,16.190714214214058,16.065115115214883,17.875725725829476
29de15c8:000,29de15c8,1327,16.737365109268872,16.606940467333594,15.34936699333005
201661b5:000,201661b5,555,16.59054594594585,16.66027027037337,11.769729729825563
5567d551:001,5567d551,1682,-16.08182015457802,-17.382390011805004,0.4101783592009026
d924e971:000,d924e971,1474,16.351521031207465,16.466675712480235,-10.941838534495583
4f4afcc6:001,4f4afcc6,1357,16.46064038319811,16.63458364049647,8.15204863680284
02e7fe5a:000,02e7fe5a,652,-16.350089723926477,-21.10723926370597,-13.304708588851367
200d233d:000,200d233d,497,16.574812877263476,16.59038229389267,-14.042012072335838
67847288:002,67847288,2512,-16.308151273885496,-20.92763535024577,11.028813694372811
2bff06cf:000,2bff06cf,1069,-16.129057530402363,-13.556304957777364,-36.332825070055534
a6f967fb:000,a6f967fb,2694,-16.235448218262903,-17.945408314697687,3.745497401731686
54a7e3c2:001,54a7e3c2,799,-16.427244055068964,-16.82913642042249,-16.97675844795651
5fffa282:000,5fffa282,3299,16.32204228554093,16.405380418424933,11.70197029414012
bd2c2f34:000,bd2c2f34,1035,-16.152970531401138,-16.42349758444195,-16.425188405697078
939d9c34:000,939d9c34,1447,-16.208191430546105,-16.51363510702366,-11.64314443666644
8648abae:000,8648abae,881,16.07077468785457,16.408887627822857,-0.43560726436242003
ae35f33a:000,ae35f33a,406,15.753173645320006,20.1619950740088,8.724064039513534
a056d01e:000,a056d01e,402,15.982757462686457,16.098930348356973,29.75850746279889
75c20ec7:000,75c20ec7,538,-15.740736059479726,-16.99947955380163,-15.559144981309187
ed6e6e54:001,ed6e6e54,870,15.806436781609062,22.52364367828902,-7.571931034387673
b3388334:002,b3388334,890,-14.935725280899002,-14.542471910009807,-25.70786516844721
c59b6c4a:000,c59b6c4a,1413,15.831657820240512,18.625668789897965,34.747714083616025
81fc01c6:000,81fc01c6,364,-15.59584752747265,-16.207280219676,-17.51497252736838
8b5be31b:000,8b5be31b,1106,-15.66815189873438,-17.009538878753812,3.0591320073429418
10a1281a:000,10a1281a,3087,-15.494479429867331,-15.563132491000228,1.2638516360011314
fdfd57da:000,fdfd57da,2983,15.666259302715284,18.84245725792411,-11.126366074323256
f08774c3:000,f08774c3,261,-15.525218390804689,-15.339118773839786,-14.778582375371242
fb0904bd:000,fb0904bd,2907,15.616291365668923,15.001723426331141,-0.3957481939108702
e4726608:000,e4726608,549,-15.509281420765186,-15.808998178413933,-6.575118396983395
beda8696:000,beda8696,1155,-15.408555411255577,-12.253385281278232,-14.725506493401939
d90aa14c:001,d90aa14c,1164,-15.61855970790396,-16.0592353950991,2.588788659902484
8cc21f01:000,8cc21f01,1298,15.48104969183344,16.16462249625846,8.572480739703796
d90aa14c:000,d90aa14c,1339,15.337093353248562,16.149932785786657,0.20127707255058264
729665c0:000,729665c0,619,15.526936187398881,17.009886914492142,5.076526655998528
125be846:000,125be846,957,15.494258098223488,15.409540229980077,20.817168234164814
8b12bab6:001,8b12bab6,1201,-15.50963405495428,-18.16906744368507,-25.20403830131146
