members,best_member_rmse,full_oof_weights_diagnostic,full_oof_rmse_diagnostic,crossfit_rmse,crossfit_delta_vs_best_member,crossfit_folds_beating_best_parent,crossfit_fold_weights
hmm_lgb_exp148|pf_mix_e02|pf_temp_t4,8.3277284922205,"[0.9999999999999998, 1.6653345369377346e-16, 0.0]",8.3277284922205,8.3277284922205,0.0,1,"[[1.0, 0.0, 0.0], [1.0, 0.0, 0.0], [0.9999999999999999, 5.551115123125783e-17, 5.551115123125783e-17], [0.9999999999999998, 1.6653345369377346e-16, 0.0], [1.0, 1.3877787807814457e-17, 0.0]]"
hmm_lgb_exp148|pf_mix_e02|pf_mix_e05,8.3277284922205,"[0.9999999999999998, 1.6653345369377346e-16, 0.0]",8.3277284922205,8.3277284922205,0.0,2,"[[1.0, 0.0, 0.0], [0.9999999999999999, 5.551115123125783e-17, 0.0], [1.0, 0.0, 0.0], [0.9999999999999999, 5.551115123125783e-17, 2.031849154396017e-17], [1.0, 0.0, 0.0]]"
hmm_lgb_exp148|pf_temp_t2|pf_temp_t4,8.3277284922205,"[1.0, 0.0, 0.0]",8.3277284922205,8.3277284922205,0.0,0,"[[1.0, 0.0, 0.0], [1.0, 0.0, 0.0], [0.9999999999999998, 0.0, 1.7665078036933706e-16], [0.9999999999999998, 0.0, 1.6653345369377346e-16], [1.0, 4.85722573273506e-17, 0.0]]"
hmm_lgb_exp148|pf_temp_t2|pf_mix_e05,8.3277284922205,"[1.0, 0.0, 0.0]",8.3277284922205,8.3277284922205,0.0,0,"[[1.0, 0.0, 0.0], [1.0, 0.0, 1.3877787807814457e-17], [0.9999999999999998, 0.0, 1.886667197046079e-16], [1.0, 0.0, 0.0], [1.0, 3.469446951953614e-17, 0.0]]"
hmm_lgb_exp148|pf_temp_t4|pf_mix_e05,8.3277284922205,"[0.9999999999999998, 5.5511151231257815e-17, 1.1680675241730318e-16]",8.3277284922205,8.3277284922205,0.0,0,"[[1.0, 0.0, 2.7755575615628914e-17], [1.0, 0.0, 0.0], [0.9999999999999998, 5.5511151231257815e-17, 1.2086268536475468e-16], [1.0, 0.0, 0.0], [1.0, 1.3877787807814457e-17, 6.938893903907228e-18]]"
hmm_lgb_exp148|likpf_mean|pf_medoid_k8_m2,8.3277284922205,"[1.0, 1.3877787807814457e-17, 1.214738838161965e-17]",8.3277284922205,8.328385708296114,0.0006572160756146417,1,"[[0.9976050416697215, 2.168404344971009e-19, 0.002394958330278487], [0.9999999999999996, 0.0, 3.330669073875468e-16], [1.0, 1.734723475976807e-17, 1.1857084458495278e-18], [1.0, 0.0, 0.0], [1.0, 9.974659986866641e-18, 0.0]]"
hmm_lgb_exp148|pf_medoid_k8_m1|pf_medoid_k8_m2,8.3277284922205,"[1.0, 0.0, 0.0]",8.3277284922205,8.328385708296114,0.0006572160756146417,0,"[[0.9976050416697215, 4.30970363562988e-18, 0.0023949583302784834], [1.0, 0.0, 2.7755575615628914e-17], [1.0, 8.673617379884035e-19, 2.855076339048079e-18], [1.0, 2.775557561562892e-17, 0.0], [1.0, 2.7755575615628914e-17, 0.0]]"
hmm_lgb_exp148|pf_mix_e02|pf_medoid_k8_m2,8.3277284922205,"[1.0, 0.0, 0.0]",8.3277284922205,8.328385708296114,0.0006572160756146417,0,"[[0.9976050416697212, 0.0, 0.002394958330278797], [1.0, 0.0, 0.0], [1.0, 0.0, 0.0], [0.9999999999999998, 1.301042606982605e-16, 0.0], [1.0, 0.0, 0.0]]"
hmm_lgb_exp148|pf_medoid_k8_m2|pf_temp_t2,8.3277284922205,"[1.0, 0.0, 0.0]",8.3277284922205,8.328385708296114,0.0006572160756146417,1,"[[0.9976050416697215, 0.002394958330278435, 0.0], [1.0, 0.0, 2.7755575615628914e-17], [0.9999999999999999, 2.7755575615628914e-17, 5.551115123125783e-17], [1.0, 5.551115123125783e-17, 0.0], [1.0, 0.0, 0.0]]"
hmm_lgb_exp148|pf_medoid_k8_m2|pf_temp_t4,8.3277284922205,"[1.0, 2.7755575615628914e-17, 0.0]",8.3277284922205,8.328385708296114,0.0006572160756146417,0,"[[0.9976050416697214, 0.002394958330278558, 0.0], [1.0, 5.551115123125783e-17, 0.0], [1.0, 0.0, 0.0], [0.9999999999999998, 1.2490009027033009e-16, 0.0], [1.0, 0.0, 0.0]]"
hmm_lgb_exp148|pf_medoid_k8_m2|pf_mix_e05,8.3277284922205,"[1.0, 0.0, 0.0]",8.3277284922205,8.328385708296114,0.0006572160756146417,0,"[[0.9976050416697215, 0.0023949583302785254, 7.824686569493482e-18], [1.0, 0.0, 0.0], [1.0, 0.0, 2.7755575615628914e-17], [1.0, 0.0, 0.0], [1.0, 2.2551405187698492e-17, 0.0]]"
