prediction,kind,deploy_status,scope,rows,rmse,mae,within10
fixed_hmmlgb_hmmshrink_exp226_exact_equal4,fixed_equal_path,exp240_component_has_no_rawtest_port,000_050,37877,0.7396461844248993,0.5304954180946716,1.0
fixed_hmmlgb_hmmshrink_exp226_exact_equal4,fixed_equal_path,exp240_component_has_no_rawtest_port,050_100,38650,1.0479546322682378,0.7275925397194373,1.0
fixed_hmmlgb_hmmshrink_exp226_exact_equal4,fixed_equal_path,exp240_component_has_no_rawtest_port,100_250,115950,1.7894433058277446,1.1905990594006037,0.9990340664079345
fixed_hmmlgb_hmmshrink_exp226_exact_equal4,fixed_equal_path,exp240_component_has_no_rawtest_port,250_500,193158,2.9687706955789155,1.9860921671394014,0.9887087254993322
fixed_hmmlgb_hmmshrink_exp226_exact_equal4,fixed_equal_path,exp240_component_has_no_rawtest_port,500_1000,385912,4.39923361465233,2.9282458947540584,0.957456622235121
fixed_hmmlgb_hmmshrink_exp226_exact_equal4,fixed_equal_path,exp240_component_has_no_rawtest_port,1000_plus,3012442,8.430893168530845,5.5443218187115715,0.8356506116964244
fixed_hmmlgb_hmmshrink_exp226_exact_equal4,fixed_equal_path,exp240_component_has_no_rawtest_port,hidden_spatial,972463,8.221632837365087,5.377954122575711,0.8400422432524425
fixed_hmmlgb_hmmshrink_exp226_exact_equal4,fixed_equal_path,exp240_component_has_no_rawtest_port,hidden_typewell_purged,976449,8.174856542415608,5.325200230821627,0.8438249207075843
fixed_hmmlgb_hmmres_exp226_exact_equal4,fixed_equal_path,exp234_component_has_no_rawtest_port,overall,3783989,7.701084031761703,4.901844099338377,0.8652329591867207
fixed_hmmlgb_hmmres_exp226_exact_equal4,fixed_equal_path,exp234_component_has_no_rawtest_port,000_050,37877,0.6912832022041371,0.5072296937806089,1.0
fixed_hmmlgb_hmmres_exp226_exact_equal4,fixed_equal_path,exp234_component_has_no_rawtest_port,050_100,38650,0.9972194716197792,0.7015728720286223,1.0
fixed_hmmlgb_hmmres_exp226_exact_equal4,fixed_equal_path,exp234_component_has_no_rawtest_port,100_250,115950,1.753948718822183,1.1816873496624354,0.9991030616645106
fixed_hmmlgb_hmmres_exp226_exact_equal4,fixed_equal_path,exp234_component_has_no_rawtest_port,250_500,193158,2.933030787648971,1.9950642927660742,0.9901376075544372
fixed_hmmlgb_hmmres_exp226_exact_equal4,fixed_equal_path,exp234_component_has_no_rawtest_port,500_1000,385912,4.356409385945601,2.9422237666928033,0.9605039490868384
fixed_hmmlgb_hmmres_exp226_exact_equal4,fixed_equal_path,exp234_component_has_no_rawtest_port,1000_plus,3012442,8.44845059232565,5.591602190478247,0.8364429920974412
fixed_hmmlgb_hmmres_exp226_exact_equal4,fixed_equal_path,exp234_component_has_no_rawtest_port,hidden_spatial,972463,8.227418733039475,5.392409904077407,0.8413523188028748
fixed_hmmlgb_hmmres_exp226_exact_equal4,fixed_equal_path,exp234_component_has_no_rawtest_port,hidden_typewell_purged,976449,8.181044913788776,5.338704170303489,0.8450620564924538
fixed_hmmlgb_exp226_exact_selfgr_equal4,fixed_equal_path,components_have_existing_rawtest_generation_paths,overall,3783989,8.314595716973754,5.215671901924711,0.8460997111778074
fixed_hmmlgb_exp226_exact_selfgr_equal4,fixed_equal_path,components_have_existing_rawtest_generation_paths,000_050,37877,0.7730781344692695,0.5488336037742232,1.0
fixed_hmmlgb_exp226_exact_selfgr_equal4,fixed_equal_path,components_have_existing_rawtest_generation_paths,050_100,38650,1.1388105982562846,0.7780753128032019,1.0
fixed_hmmlgb_exp226_exact_selfgr_equal4,fixed_equal_path,components_have_existing_rawtest_generation_paths,100_250,115950,1.9647678691473822,1.2954066757458764,0.9986890901250539
fixed_hmmlgb_exp226_exact_selfgr_equal4,fixed_equal_path,components_have_existing_rawtest_generation_paths,250_500,193158,3.2490834858067488,2.1716375165606814,0.9836765756530923
fixed_hmmlgb_exp226_exact_selfgr_equal4,fixed_equal_path,components_have_existing_rawtest_generation_paths,500_1000,385912,4.703894461460239,3.1275213160086124,0.9452128982773275
fixed_hmmlgb_exp226_exact_selfgr_equal4,fixed_equal_path,components_have_existing_rawtest_generation_paths,1000_plus,3012442,9.118911531459707,5.944866242623795,0.8147984259945917
fixed_hmmlgb_exp226_exact_selfgr_equal4,fixed_equal_path,components_have_existing_rawtest_generation_paths,hidden_spatial,972463,8.772581683745958,5.823207856381811,0.8091104751543247
fixed_hmmlgb_exp226_exact_selfgr_equal4,fixed_equal_path,components_have_existing_rawtest_generation_paths,hidden_typewell_purged,976449,8.6826924317082,5.743508175494188,0.8145658401001998
fixed_hmmlgb_exp226_exact_peer_equal4,fixed_equal_path,peer_atlas_has_no_rawtest_port,overall,3783989,8.367084174030298,5.24697675681792,0.8446324764686155
fixed_hmmlgb_exp226_exact_peer_equal4,fixed_equal_path,peer_atlas_has_no_rawtest_port,000_050,37877,0.7738904949852844,0.5495722134412869,1.0
fixed_hmmlgb_exp226_exact_peer_equal4,fixed_equal_path,peer_atlas_has_no_rawtest_port,050_100,38650,1.1378191906507107,0.777304655916478,1.0
fixed_hmmlgb_exp226_exact_peer_equal4,fixed_equal_path,peer_atlas_has_no_rawtest_port,100_250,115950,1.9528500647015465,1.2899345463090233,0.9986804657179819
fixed_hmmlgb_exp226_exact_peer_equal4,fixed_equal_path,peer_atlas_has_no_rawtest_port,250_500,193158,3.2163219239214684,2.1543769166931184,0.9841994636515184
fixed_hmmlgb_exp226_exact_peer_equal4,fixed_equal_path,peer_atlas_has_no_rawtest_port,500_1000,385912,4.678283954136944,3.1119152570374284,0.9464592964199092
