episode_id,well,rows,episode_sse_weight,observed_emission_evidence_class,viterbi_recovery_class,pre128_kernel_bias_sum_ft,pre128_true_minus_init_rate_median,exp209_mean_error_ft,exp355_mean_error_ft,exp209_rmse_ft,exp355_rmse_ft,rmse_gain_ft,exp355_sse_reduction_fraction,pre128_bias_sign_matches_exp209_error,pre128_bias_sign_matches_exp355_error,exp355_mu_adjustment_abs_mean
577eec7c:001,577eec7c,403,77700.58598249807,near_tie,large_recovery,1.6092312954170362,-0.0299999999988358,13.781610421836056,19.532902436827616,13.885439289924852,19.543557830688847,-5.658118540763995,-0.9810161156996648,True,True,0.01002388122923327
57f05c51:000,57f05c51,1915,456376.5268912423,candidate_strong,not_better,4.589255363537965,-0.0300000000006548,15.313460313315801,14.835189101464948,15.437510298788201,14.93685255971718,0.5006577390710216,0.06381071191668652,True,True,0.017782237926786505
57f05c51:001,57f05c51,765,244915.3428880046,truth_strong,not_better,-4.348642783200694,0.0899999999983265,-17.55042352941194,-16.383128378393792,17.89275761354296,16.898897610648298,0.9938600028946603,0.10800546886069129,True,True,0.009036132646477306
57f05c51:002,57f05c51,317,98143.22703074856,truth_strong,partial_recovery,1.9421299444481737,-0.0200000000004365,16.973077287066126,5.708008680353541,17.595456381421318,6.3077416416289065,11.287714739792412,0.8714871005840436,True,True,0.01915699785323201
591cc951:000,591cc951,1301,268277.2677987458,truth_strong,not_better,0.1754930411742803,-0.0100000000002182,14.233989623366524,14.883778280956811,14.359961947978253,15.077077087417434,-0.7171151394391817,-0.1023708800600387,True,True,0.009332763292384263
593876b6:000,593876b6,3057,620025.987902013,truth_strong,not_better,0.3948593426401475,-0.0200000000004365,-14.111277723258244,-14.204585476641578,14.241548956615675,14.336041669151706,-0.09449271253603087,-0.013314028202337402,False,False,0.00592186304601344
5a5269a9:000,5a5269a9,566,66324.78436624807,truth_strong,partial_recovery,3.67506604022101,-0.0099999999965803,10.816988515900904,9.665678453812422,10.825044933866385,9.716866344724313,1.1081785891420726,0.1942634908760481,True,True,0.018712373168631894
5a63b5d1:000,5a63b5d1,380,65019.21649800139,near_tie,not_better,-0.6535317907188538,-0.0100000000002182,-12.981389473684354,-7.173644121678837,13.080642236164476,7.363551712523413,5.717090523641063,0.6831041534716769,True,True,0.007251640322752605
5aa03df7:000,5aa03df7,456,57221.59005850151,candidate_strong,large_recovery,-1.773334717222398,0.0100000000002182,-11.179782894736993,-10.801818744386988,11.202050843963749,10.821185481260587,0.38086536270316174,0.06684324700417787,True,True,0.011344034654572612
5aa03df7:001,5aa03df7,205,23302.416621750697,candidate_strong,large_recovery,-1.7688802564578223,0.0,-10.659178048780644,-10.261872007737812,10.66162862719152,10.263981925961664,0.39764670122985635,0.07320292265234829,True,True,0.0010037675729108984
5aa403d0:000,5aa403d0,2232,708293.6683502601,candidate_strong,not_better,-4.522306180736044,0.0100000000002182,-17.287689292114827,-16.018040539039287,17.8139235688487,16.31470940819736,1.4992141606513414,0.16123651376873327,True,True,0.009843629322191271
5aef5c6c:000,5aef5c6c,614,116600.34775075236,near_tie,partial_recovery,-5.21390503695546,0.0200000000004365,-13.598865635179294,-21.400841584361434,13.780524173615337,22.048029646996277,-8.26750547338094,-1.5598121369700442,True,True,0.036727997051780245
5aef5c6c:001,5aef5c6c,181,72963.62210749916,near_tie,not_better,2.360487712843981,0.0,19.25981767955789,10.19406273784958,20.077697435103843,11.749023260486199,8.328674174617644,0.657566916369031,True,True,0.030833771410470803
5b7b6324:000,5b7b6324,376,42577.63195125207,near_tie,partial_recovery,-1.480599711657404,0.0099999999983992,-10.634586436170473,-11.061931904755907,10.641352491533896,11.068630080965264,-0.42727758943136784,-0.08191735687834645,True,True,0.0014885613667541247
5b7b6324:001,5b7b6324,403,47993.077638751,near_tie,partial_recovery,-0.504542493371759,0.0,-10.900648883374807,-11.432593610126204,10.912814608376772,11.44639345065868,-0.5335788422819085,-0.10018010050185944,True,True,0.0015518058516774463
