well,rows,original_episode_rows,exp209_rmse_ft,exp355_rmse_ft,rmse_gain_ft,original_episode_exp209_rmse_ft,original_episode_exp355_rmse_ft,outside_exp209_rmse_ft,outside_exp355_rmse_ft
6dbe4b60,4648,377,6.231672533148865,5.90788301555574,0.32378951759312535,13.561675340499512,8.782007582452556,5.10167651591732,5.583572610453226
6e6d122c,5632,844,6.03283866889154,6.0020480876952105,0.030790581196329825,13.2640903809675,13.153380930797937,3.4347777516403952,3.4463544460698716
6e9ccd38,8282,269,3.943327506076906,4.12297057223627,-0.1796430661593642,11.248219751005816,11.257441578599844,3.438667095168641,3.6489949297901547
6ea22614,5971,438,4.855914728325542,4.3654886239981945,0.4904261043273479,11.947558985202903,9.881648629861468,3.7612097696334295,3.582769507826658
6ede926a,4938,0,2.0550200211956238,2.467458072393835,-0.4124380511982113,,,2.0550200211956238,2.467458072393835
708caea9,6548,6242,47.14637252781016,44.625222351918744,2.521150175891414,48.278137460496666,45.69470517744868,4.445232099209991,4.581077198374284
70925e23,5947,4594,12.114028054524844,31.15114497377086,-19.037116919246017,13.453928408921962,33.82650358094019,5.516132240415672,19.49716630381512
70e1788b,9285,0,3.463304335862721,3.4372977416271087,0.026006594235612468,,,3.463304335862721,3.4372977416271087
71642c7d,4648,536,5.252290366002451,5.174493378855156,0.07779698714729477,12.544503304318358,12.518936252651187,3.2664912917023607,3.136333002058776
71ccf778,2698,131,4.2036841001665035,4.078009423090516,0.12567467707598734,11.097727709530938,9.718691786612316,3.505371675995632,3.557904060717938
7224331b,6063,3393,15.81234326560982,17.47201729856687,-1.6596740329570476,20.385634182226504,22.65505612608979,6.297560403822449,6.401014019623312
722cf0d8,5143,0,1.4277013319266172,1.4864315602307672,-0.05873022830414998,,,1.4277013319266172,1.4864315602307672
7256229b,5415,3070,21.781250904105452,16.792671477145905,4.9885794269595465,28.869829862856008,22.227387544127964,2.091309075623795,2.0899052691147904
726f3dc2,6723,4707,24.925759121312524,7.330500005738598,17.595259115573924,29.77039295742597,8.668212135145701,1.6142739133236257,1.9409146320521773
7271dd80,4340,0,2.729398663283442,2.687886032233184,0.041512631050258264,,,2.729398663283442,2.687886032233184
727a3a10,4397,0,1.6877619227654856,1.6604360578164403,0.02732586494904532,,,1.6877619227654856,1.6604360578164403
729665c0,4263,3868,30.986844735225297,30.005260873164648,0.9815838620606492,32.436594076676805,31.422156657389703,7.732503979135049,6.929752903742771
729e9750,5919,0,3.546351569269927,7.493540855008261,-3.947189285738334,,,3.546351569269927,7.493540855008261
729f4217,6195,0,1.1662225311193641,1.3199133995353005,-0.15369086841593638,,,1.1662225311193641,1.3199133995353005
72dd8501,5193,0,1.7377407092758392,1.8305418332823582,-0.09280112400651896,,,1.7377407092758392,1.8305418332823582
73348914,4221,3495,18.40926427352405,13.800457482224152,4.6088067912999,20.17594468419705,15.09342351226167,3.2769139658840998,3.2566054772913025
739a914f,5505,0,4.1028569889749384,6.329120342903488,-2.22626335392855,,,4.1028569889749384,6.329120342903488
73b1447d,5670,0,4.071066781254408,4.082386153173066,-0.01131937191865795,,,4.071066781254408,4.082386153173066
74b6186b,3405,0,2.834544459693649,1.978165315794895,0.856379143898754,,,2.834544459693649,1.978165315794895
75c20ec7,5361,3807,15.47510923958561,16.268446163016165,-0.7933369234305552,17.94511620654517,18.813587174683775,6.103431590693327,6.776592750327209
75cd5f11,4946,0,4.3756490793306115,4.340813411682545,0.03483566764806678,,,4.3756490793306115,4.340813411682545
75d20a82,5067,1403,7.107841936889375,6.022372121232374,1.0854698156570004,11.397223157915946,9.145899639726194,4.4863620321558715,4.257584928399465
76201745,4448,609,5.598089794008455,6.074167741894481,-0.47607794788602575,12.247455609321229,13.17969442161726,3.5376158040646417,3.8977989212247364
764072a5,2949,1546,9.482904879584177,5.337333549373898,4.14557133021028,12.539469491273499,6.453793212792023,3.9688605158621035,3.7391237235780905
77b0d905,4174,4030,18.735260248446796,18.712219865851004,0.023040382595791442,19.034816439015216,19.01129980370521,5.862408290268469,5.864991889937768
77e4821c,5393,336,6.1232818223985666,6.8840558850623665,-0.7607740626638,12.522900708225064,2.6387678092490106,5.437471140202487,7.076461490318842
7850c72e,5497,0,1.7521398438038955,1.7901436894680354,-0.038003845664139835,,,1.7521398438038955,1.7901436894680354
78a4a386,5119,0,3.8624915153112815,3.3632591560365097,0.49923235927477183,,,3.8624915153112815,3.3632591560365097
79507629,5302,0,1.5936045566360297,1.4086858297185214,0.18491872691750832,,,1.5936045566360297,1.4086858297185214
796dbd4c,6248,504,5.5036711235635245,5.621771032028647,-0.11809990846512264,11.219913670824342,9.318465916948757,4.6800042843645855,5.17283938239308
7987f2f2,3705,888,9.395302307105467,9.395636296209684,-0.00033398910421666983,17.706310986791582,17.717501413729856,4.15559663264717,4.141530943477955
7993a768,5487,0,6.447925410831945,6.385794344128297,0.062131066703647875,,,6.447925410831945,6.385794344128297
7a5660b0,4998,1576,9.273930578932054,10.020659362505844,-0.7467287835737899,14.509809095612276,15.738354158715776,5.352956102847383,5.708143092549478
7acda2df,3091,0,2.4596460888839093,2.5162781364634252,-0.0566320475795159,,,2.4596460888839093,2.5162781364634252
7b2c7b3c,2584,306,5.327188035340326,5.54322737764736,-0.2160393423070346,12.839253615072563,13.612613881849938,3.169775544398255,3.156492459913162
7b38844c,3749,2721,19.08738217808574,18.19232549893251,0.8950566791532282,22.341881756226755,21.28803236772841,2.7284307098358735,2.731149463544874
7bb17b96,3922,0,4.837541529475466,5.069345373026656,-0.23180384355119,,,4.837541529475466,5.069345373026656
7c607683,5328,0,1.2476770766145735,1.9803888694308716,-0.7327117928162981,,,1.2476770766145735,1.9803888694308716
7cbbd047,5121,0,1.4237033914090207,1.2397210435892796,0.1839823478197411,,,1.4237033914090207,1.2397210435892796
7cd4bb31,6439,0,2.389138383949003,3.818073939087445,-1.4289355551384424,,,2.389138383949003,3.818073939087445
7d50373e,5122,0,3.9787644228867842,3.8341633877210426,0.14460103516574163,,,3.9787644228867842,3.8341633877210426
7d57c75d,4405,0,4.468685270370822,3.273064427219949,1.1956208431508735,,,4.468685270370822,3.273064427219949
7e208414,4226,1152,9.463471813796746,8.784726075321796,0.6787457384749498,14.13640659696112,13.27626455366182,6.9447062923134455,6.327532475501372
7e721392,6174,0,2.911753031128401,2.9682892724124588,-0.056536241284057986,,,2.911753031128401,2.9682892724124588
7ff89f8f,7337,3695,14.265698023110708,10.48889105658212,3.7768069665285893,19.87081119851636,14.564097616443597,3.0637709597075755,2.5367270268666715
8050c789,3077,0,0.9108326649192707,1.2798409786388136,-0.3690083137195429,,,0.9108326649192707,1.2798409786388136
807f0298,3747,985,15.951982555813274,5.4370473394055185,10.514935216407755,30.123935430995203,7.8686680743759485,4.646966190613207,4.245357027857357
811f52b3,4836,3195,31.95938189569432,5.903938514819314,26.055443380875005,39.280783894019315,7.058440402422693,2.428686231847669,2.391590302858376
81bf5923,4543,3374,16.65317775826682,30.257736336282985,-13.604558578016164,18.85868434026971,33.81543829277279,7.160603226141727,16.050097628340485
81fc01c6,5909,1292,11.569466172809353,11.794570128917186,-0.22510395610783362,22.877342468213026,23.291346053964986,4.985077314951261,5.12184606122273
8255c867,3589,0,1.9238119357408399,30.478001585346572,-28.554189649605732,,,1.9238119357408399,30.478001585346572
82aab6d2,6140,1523,7.790090346795488,8.167926002433092,-0.3778356556376039,12.780801070329648,12.674153147607726,5.178818395249642,5.977801158040636
82fcf37c,6014,0,1.1958088870251011,1.2560147786480567,-0.06020589162295553,,,1.1958088870251011,1.2560147786480567
833af382,3628,1507,10.099317866478938,11.089199942177595,-0.9898820756986577,15.191527962134867,16.70899217895195,3.2390992058731976,3.4603217907522845
8382f4b6,4967,0,4.504405996115684,9.294578131752786,-4.790172135637102,,,4.504405996115684,9.294578131752786
84633df4,4972,3327,15.911081672589352,15.574318514289956,0.3367631582993962,19.303557084725114,18.898999906618055,3.397922542258949,3.2796157586630756
8478df29,4857,1396,10.235206794637328,8.205807455620844,2.029399339016484,16.655528096216695,12.991195618580125,5.926377063033855,5.140130848820088
84815d5a,3647,0,1.4177003668870651,1.2948560563326301,0.12284431055443501,,,1.4177003668870651,1.2948560563326301
84c3b497,5312,3257,20.51436107243134,20.207935018381914,0.3064260540494246,26.013493327381358,25.661819555583843,3.9138499683271215,3.4445775422900047
85380836,6618,305,5.4792775610548015,5.483504175486451,-0.004226614431649622,12.238232075760244,12.531968123034094,4.923099762610268,4.8922351438709235
8612b37f,5165,3052,21.58303267472492,13.479333495845156,8.103699178879763,27.840140401259703,17.21551721483962,4.376610984568672,4.005903122804053
861e71df,4700,2290,12.452660629835627,12.090804071826579,0.36185655800904826,17.671907046901822,17.153212713919345,2.3811703263371613,2.348174439590062
86454a6f,7964,538,5.0980007743290585,57.84175523623145,-52.74375446190239,11.935284769626072,70.97895907018268,4.189534288020401,56.77201290666551
