well_id,hidden_query_label,prefix_selected_label,prefix_selected_is_provided,prefix_selected_hidden_overlap_grid_points,prefix_selected_hidden_coverage_query,prefix_selected_hidden_coverage_candidate,prefix_selected_hidden_corr,prefix_selected_hidden_raw_rmse,prefix_selected_hidden_resid_std,prefix_selected_hidden_z_rmse,provided_hidden_z_rmse,provided_hidden_raw_rmse,oracle_hidden_z_rmse,oracle_hidden_raw_rmse,prefix_selected_minus_provided_hidden_z_rmse,prefix_selected_minus_provided_hidden_raw_rmse
084d66f9,horizontal:train:084d66f9:hidden,typewell:train:084d66f9,True,87.0,1.0,0.04223300889134407,0.7950722575187683,9.693136215209961,9.34823226928711,0.6401995420455933,0.6401995420455933,9.693136215209961,0.6401995420455933,9.693136215209961,0.0,0.0
08fecf00,horizontal:train:08fecf00:hidden,typewell:train:89f36adf,False,33.0,1.0,0.01850813254714012,0.7714569568634033,4.785948753356934,4.784786224365234,0.6760814189910889,0.6760814189910889,4.785948753356934,,,0.0,0.0
09053135,horizontal:train:09053135:hidden,typewell:train:09053135,True,52.0,1.0,0.02801724150776863,0.5803992748260498,11.937538146972656,10.624950408935547,0.9160794019699097,0.9160794019699097,11.937538146972656,,,0.0,0.0
09441b8d,horizontal:train:09441b8d:hidden,typewell:train:09441b8d,True,70.0,1.0,0.03406326100230217,0.8996448516845703,6.670162677764893,6.564768314361572,0.4480070173740387,0.4480070173740387,6.670162677764893,,,0.0,0.0
0955cd6c,horizontal:train:0955cd6c:hidden,typewell:train:08fecf00,False,41.0,1.0,0.018485121428966522,0.7165089845657349,9.981614112854004,9.90697193145752,0.7529820799827576,0.7529820799827576,9.981614112854004,,,0.0,0.0
09ec2ca9,horizontal:train:09ec2ca9:hidden,typewell:train:8995c945,False,40.0,1.0,0.023242300376296043,0.020254064351320267,16.138948440551758,15.520010948181152,1.3998185396194458,1.3998185396194458,16.138948440551758,,,0.0,0.0
0a57a29c,horizontal:train:0a57a29c:hidden,typewell:train:dafc88c3,False,45.0,1.0,0.033834587782621384,0.9271875619888306,4.606306076049805,4.410194396972656,0.3816082775592804,0.3816082775592804,4.606306076049805,,,0.0,0.0
0bbf5e67,horizontal:train:0bbf5e67:hidden,typewell:train:0bbf5e67,True,63.0,1.0,0.03915475308895111,0.9921619892120361,1.933415412902832,1.8034297227859497,0.1252039223909378,0.1252039223909378,1.933415412902832,,,0.0,0.0
0be01c24,horizontal:train:0be01c24:hidden,typewell:train:26623a50,False,43.0,1.0,0.022326065227389336,0.8562402129173279,4.833492279052734,4.8333964347839355,0.5362085103988647,0.5362085103988647,4.833492279052734,,,0.0,0.0
0c1b160c,horizontal:train:0c1b160c:hidden,typewell:train:0c1b160c,True,56.0,1.0,0.0382513664662838,0.7338097095489502,12.65025806427002,12.62441349029541,0.7296441197395325,0.7296441197395325,12.65025806427002,,,0.0,0.0
0d99f8e4,horizontal:train:0d99f8e4:hidden,typewell:train:09441b8d,False,46.0,1.0,0.02238442748785019,0.8584772348403931,5.497652530670166,5.491754055023193,0.5320202112197876,0.5320202112197876,5.497652530670166,,,0.0,0.0
0dc5e64d,horizontal:train:0dc5e64d:hidden,typewell:train:09ec2ca9,False,133.0,1.0,0.07455156743526459,0.9037890434265137,10.336400032043457,10.32648754119873,0.4386592209339142,0.4386592209339142,10.336400032043457,0.4386592209339142,10.336400032043457,0.0,0.0
0dc835f3,horizontal:train:0dc835f3:hidden,typewell:train:01982c1d,False,53.0,1.0,0.023949390277266502,0.739331841468811,10.048863410949707,9.376015663146973,0.7220362424850464,0.7220362424850464,10.048863410949707,,,0.0,0.0
0dd99dc5,horizontal:train:0dd99dc5:hidden,typewell:train:028d7b28,False,60.0,1.0,0.033821869641542435,0.9343709945678711,6.5696587562561035,5.968411445617676,0.3622954785823822,0.3622954785823822,6.5696587562561035,,,0.0,0.0
0e5e560d,horizontal:train:0e5e560d:hidden,typewell:train:d0cb63ae,False,51.0,1.0,0.028829846531152725,0.7373074889183044,14.980624198913574,14.764617919921875,0.7248345017433167,0.7248345017433167,14.980624198913574,,,0.0,0.0
109d9d70,horizontal:train:109d9d70:hidden,typewell:train:08fecf00,False,70.0,1.0,0.031559962779283524,0.7821346521377563,7.7716288566589355,7.611911296844482,0.6600990295410156,0.6600990295410156,7.7716288566589355,,,0.0,0.0
10a1281a,horizontal:train:10a1281a:hidden,typewell:train:09441b8d,False,21.0,1.0,0.010218977928161621,0.9815896153450012,4.044028282165527,3.700526475906372,0.19188739359378815,0.19188739359378815,4.044028282165527,,,0.0,0.0
10b89021,horizontal:train:10b89021:hidden,typewell:train:1e5e3573,False,39.0,1.0,0.02282036282122135,-0.09048019349575043,19.325857162475586,11.54690170288086,1.4768074750900269,0.8385530710220337,8.339452743530273,,,0.6382544040679932,10.986404418945312
10be2420,horizontal:train:10be2420:hidden,typewell:train:10be2420,True,41.0,0.9111111164093018,0.020686175674200058,0.8081561923027039,10.228636741638184,10.228507041931152,0.6194252371788025,0.6194252371788025,10.228636741638184,,,0.0,0.0
113011eb,horizontal:train:113011eb:hidden,typewell:train:028d7b28,False,42.0,1.0,0.023675309494137764,0.820297360420227,7.278985500335693,7.129018306732178,0.5995041728019714,0.5995041728019714,7.278985500335693,,,0.0,0.0
1131525f,horizontal:train:1131525f:hidden,typewell:train:af7a59ce,False,47.0,1.0,0.04442343860864639,0.7301636934280396,11.540515899658203,11.520119667053223,0.7346241474151611,0.7346241474151611,11.540515899658203,,,0.0,0.0
11d0f5ac,horizontal:train:11d0f5ac:hidden,typewell:train:197f8a5a,False,58.0,1.0,0.026889197528362274,0.22011925280094147,30.490459442138672,18.697555541992188,1.2489041090011597,0.7704919576644897,9.842290878295898,,,0.4784121513366699,20.648168563842773
12203f2a,horizontal:train:12203f2a:hidden,typewell:train:0849b4e2,False,43.0,1.0,0.018793705850839615,0.6883230805397034,10.92621898651123,10.647972106933594,0.7895275950431824,0.7895275950431824,10.92621898651123,,,0.0,0.0
122bd617,horizontal:train:122bd617:hidden,typewell:train:122bd617,True,66.0,0.8048780560493469,0.028289755806326866,0.6295679807662964,12.353229522705078,12.013359069824219,0.8607345819473267,0.8607345819473267,12.353229522705078,1.1531124114990234,34.15058135986328,0.0,0.0
