query_label,split,well_id,view,rank_by_z_rmse,candidate_label,candidate_split,candidate_well_id,candidate_is_provided,overlap_grid_points,coverage_query,coverage_candidate,corr,raw_rmse,resid_std,z_rmse
horizontal:train:015fe0d2:full,train,015fe0d2,full,3,typewell:train:00bbac68,train,00bbac68,False,732.0,1.0,0.376156210899353,0.8621937036514282,14.769495010375977,12.862115859985352,0.5249881744384766
horizontal:train:015fe0d2:full,train,015fe0d2,full,4,typewell:train:015fe0d2,train,015fe0d2,True,732.0,1.0,0.5786561369895935,0.8621937036514282,14.769495010375977,12.862115859985352,0.5249881744384766
horizontal:train:015fe0d2:full,train,015fe0d2,full,5,typewell:train:153552f5,train,153552f5,False,732.0,1.0,0.34609928727149963,0.8621937036514282,14.769495010375977,12.862115859985352,0.5249881744384766
horizontal:train:015fe0d2:full,train,015fe0d2,full,6,typewell:train:155887bb,train,155887bb,False,732.0,1.0,0.3449575901031494,0.8621937036514282,14.769495010375977,12.862115859985352,0.5249881744384766
horizontal:train:015fe0d2:full,train,015fe0d2,full,7,typewell:train:177622d7,train,177622d7,False,732.0,1.0,0.5772870779037476,0.8621937036514282,14.769495010375977,12.862115859985352,0.5249881744384766
horizontal:train:015fe0d2:full,train,015fe0d2,full,8,typewell:train:25939962,train,25939962,False,732.0,1.0,0.39291465282440186,0.8621937036514282,14.769495010375977,12.862115859985352,0.5249881744384766
horizontal:train:015fe0d2:full,train,015fe0d2,full,9,typewell:train:2b547943,train,2b547943,False,732.0,1.0,0.4062153100967407,0.8621937036514282,14.769495010375977,12.862115859985352,0.5249881744384766
horizontal:train:015fe0d2:full,train,015fe0d2,full,10,typewell:train:2f19d536,train,2f19d536,False,732.0,1.0,0.5656877756118774,0.8621937036514282,14.769495010375977,12.862115859985352,0.5249881744384766
horizontal:train:01869cd4:prefix,train,01869cd4,prefix,1,typewell:train:000d7d20,train,000d7d20,False,470.0,1.0,0.36265432834625244,0.7523182034492493,15.964921951293945,15.93715763092041,0.7038207054138184
horizontal:train:01869cd4:prefix,train,01869cd4,prefix,2,typewell:train:00e12e8b,train,00e12e8b,False,470.0,1.0,0.18388105928897858,0.7523182034492493,15.964921951293945,15.93715763092041,0.7038207054138184
horizontal:train:01869cd4:prefix,train,01869cd4,prefix,3,typewell:train:01869cd4,train,01869cd4,True,470.0,1.0,0.4467680752277374,0.7523182034492493,15.964921951293945,15.93715763092041,0.7038207054138184
horizontal:train:01869cd4:prefix,train,01869cd4,prefix,4,typewell:train:1295a25b,train,1295a25b,False,470.0,1.0,0.351796418428421,0.7523182034492493,15.964921951293945,15.93715763092041,0.7038207054138184
