well,rows,persistent_rows,episodes,grid_count,rate_span,truth_rows,truth_out_of_grid_fraction,truth_local_illegal_fraction,truth_dynamic_break_fraction,truth_best_position_nll_median,truth_best_position_nll_p90,truth_support_rate_count_median,truth_conditioned_transition_nll_mean,truth_conditioned_transition_nll_median,truth_conditioned_transition_nll_p90,truth_conditioned_rate_edge_mass_mean,posterior_mean_rows,posterior_mean_out_of_grid_fraction,posterior_mean_local_illegal_fraction,posterior_mean_dynamic_break_fraction,posterior_mean_best_position_nll_median,posterior_mean_best_position_nll_p90,posterior_mean_support_rate_count_median,posterior_mean_conditioned_transition_nll_mean,posterior_mean_conditioned_transition_nll_median,posterior_mean_conditioned_transition_nll_p90,posterior_mean_conditioned_rate_edge_mass_mean,marginal_map_rows,marginal_map_out_of_grid_fraction,marginal_map_local_illegal_fraction,marginal_map_dynamic_break_fraction,marginal_map_best_position_nll_median,marginal_map_best_position_nll_p90,marginal_map_support_rate_count_median,marginal_map_conditioned_transition_nll_mean,marginal_map_conditioned_transition_nll_median,marginal_map_conditioned_transition_nll_p90,marginal_map_conditioned_rate_edge_mass_mean,global_viterbi_rows,global_viterbi_out_of_grid_fraction,global_viterbi_local_illegal_fraction,global_viterbi_dynamic_break_fraction,global_viterbi_best_position_nll_median,global_viterbi_best_position_nll_p90,global_viterbi_support_rate_count_median,global_viterbi_conditioned_transition_nll_mean,global_viterbi_conditioned_transition_nll_median,global_viterbi_conditioned_transition_nll_p90,global_viterbi_conditioned_rate_edge_mass_mean
0d99f8e4,5823,0,0,573,0.1,5823,0.0,0.0,0.0,0.03320257376026013,0.033202573760260146,41.0,0.21975273999774092,0.08446344624640982,0.12151368187598553,0.0399891618880009,5823,0.0,0.0,0.0,0.03320257376026013,0.033202573760260146,41.0,,,,,5823,0.0,0.0020607934054611026,0.0020607934054611026,0.03320257376026013,0.033202573760260146,41.0,,,,,5823,0.0,0.0,0.0,0.03320257376026013,0.033202573760260146,41.0,0.09202739650072682,0.08446344624621543,0.10479984329504516,0.03634759648660876
0dc5e64d,4879,648,2,573,0.1,4879,0.0,0.000819840131174421,0.000819840131174421,0.03320257376026013,0.03320257376026015,41.0,0.2870832221357813,0.10479984329504516,0.32324444378802647,0.03959018224683811,4879,0.0,0.0,0.0,0.033202573760260125,0.03320257376026015,41.0,,,,,4879,0.0,0.0006148800983808157,0.0006148800983808157,0.033202573760260125,0.03320257376026015,41.0,,,,,4879,0.0,0.0,0.0,0.033202573760260125,0.03320257376026015,41.0,0.14981254437131286,0.10479984329234181,0.1733644433841373,0.036976311734633366
0dc835f3,4428,791,3,573,0.1,4428,0.0,0.0,0.0,0.033202573760260125,0.033202573760260146,41.0,0.27501840075720185,0.10245248944748911,0.2290790678472708,0.03977411206844552,4428,0.0,0.0,0.0,0.033202573760260125,0.033202573760260146,41.0,,,,,4428,0.0,0.00045167118337850043,0.00045167118337850043,0.033202573760260125,0.033202573760260146,41.0,,,,,4428,0.0,0.0,0.0,0.033202573760260125,0.033202573760260146,41.0,0.1312179199313161,0.09489264605085444,0.15302664551007067,0.03667273049355591
0dd99dc5,7342,525,1,573,0.1,7342,0.0,0.0,0.0,0.033202573760260125,0.033202573760260146,41.0,0.2665379928711435,0.0917183326288402,0.12151368187260163,0.04124705114557347,7342,0.0,0.0,0.0,0.033202573760260125,0.033202573760260146,41.0,,,,,7342,0.0,0.0016344320348678834,0.0016344320348678834,0.033202573760260125,0.033202573760260146,41.0,,,,,7342,0.0,0.0,0.0,0.033202573760260125,0.033202573760260146,41.0,0.09611001480042282,0.08547404866238331,0.11543742972143416,0.036293207256290566
0e5e560d,3253,2689,1,573,0.1,3253,0.0,0.0003074085459575776,0.0003074085459575776,0.03320257376026012,0.033202573760260146,41.0,0.25020587566957764,0.09339029447109368,0.15302664551007067,0.040275526228603656,3253,0.0,0.0,0.0,0.03320257376026012,0.033202573760260146,41.0,,,,,3253,0.0,0.0012296341838303104,0.0012296341838303104,0.03320257376026012,0.033202573760260146,41.0,,,,,3253,0.0,0.0,0.0,0.03320257376026012,0.033202573760260146,41.0,0.10298485621779081,0.09339029447109368,0.11861624795758453,0.03622726227064858
109d9d70,4215,2679,1,573,0.10000000000130968,4215,0.0,0.00023724792408066428,0.00023724792408066428,0.033202573760260146,0.03320257376026015,41.0,0.24962459960353506,0.09489264605168321,0.15302664551075326,0.040101886926338384,4215,0.0,0.0,0.0,0.033202573760260146,0.03320257376026015,41.0,,,,,4215,0.0,0.0014234875444839859,0.0014234875444839859,0.033202573760260146,0.03320257376026015,41.0,,,,,4215,0.0,0.0,0.0,0.033202573760260146,0.03320257376026015,41.0,0.10566610538854039,0.09339029447212133,0.13858048190871147,0.03610301274361002
10a1281a,5609,3087,1,573,0.10999999999970897,5609,0.0,0.0,0.0,0.033222561898007374,0.03325810544720126,41.0,0.3090764901276711,0.09769390499602697,0.14115121822970592,0.041968672840207166,5609,0.0,0.0,0.0,0.033222561898007374,0.03325810544720126,41.0,,,,,5609,0.0,0.0008914244963451596,0.0008914244963451596,0.033222561898007374,0.03325810544720126,41.0,,,,,5609,0.0,0.0,0.0,0.03322256189798413,0.03325810544720126,41.0,0.11142520558250801,0.09430529879696631,0.12197503213773961,0.0352528924062932
10b89021,5414,0,0,573,0.1,5414,0.0,0.0,0.0,0.033202573760260125,0.033202573760260146,41.0,0.18616651455053954,0.07868061948121687,0.13055730139094202,0.03908989411279826,5414,0.0,0.0,0.0,0.033202573760260125,0.033202573760260146,41.0,,,,,5414,0.0,0.002216475803472479,0.002216475803472479,0.033202573760260125,0.033202573760260146,41.0,,,,,5414,0.0,0.0,0.0,0.03320257376026012,0.033202573760260146,41.0,0.091397455978137,0.07868061948011462,0.11861624795375265,0.036441374787362
10be2420,3271,0,0,573,0.1,3271,0.0,0.0,0.0,0.033202573760260125,0.033202573760260146,41.0,0.19489553529587553,0.10479984329504503,0.13858048190708236,0.03770441552517127,3271,0.0,0.0,0.0,0.03320257376026012,0.033202573760260146,41.0,,,,,3271,0.0,0.001528584530724549,0.001528584530724549,0.03320257376026012,0.033202573760260146,41.0,,,,,3271,0.0,0.0,0.0,0.03320257376026012,0.033202573760260146,41.0,0.11552357153562187,0.10479984329504503,0.1347340245501759,0.03574974556294336
113011eb,3272,1866,1,573,0.1,3272,0.0,0.0006112469437652812,0.0006112469437652812,0.03320257376026013,0.03320257376026015,41.0,0.24127940138260034,0.09339029447352161,0.13858048190708247,0.039854148071871744,3272,0.0,0.0,0.0,0.03320257376026013,0.033202573760260146,41.0,,,,,3272,0.0,0.0003056234718826406,0.0003056234718826406,0.03320257376026013,0.033202573760260146,41.0,,,,,3272,0.0,0.0,0.0,0.03320257376026013,0.033202573760260146,41.0,0.10231335378920507,0.09339029447352161,0.13055730139094215,0.036055564888516085
1131525f,4159,195,1,573,0.1,4159,0.0,0.0,0.0,0.03320257376026013,0.033202573760260146,41.0,0.2212240295032397,0.08446344624621543,0.12151368187260163,0.039987203756031424,4159,0.0,0.0,0.0,0.03320257376026013,0.033202573760260146,41.0,,,,,4159,0.0,0.000721327242125511,0.000721327242125511,0.03320257376026013,0.033202573760260146,41.0,,,,,4159,0.0,0.0,0.0,0.03320257376026013,0.033202573760260146,41.0,0.09277821479706155,0.08446344624462622,0.10479984329504516,0.036397359787235024
